rank,function_sequence,recurrence,n_chromosomes,example_position,blastn_hit,ensembl_genes,ensembl_biotypes,ensembl_regulatory,ensembl_repeats,final_classification,notes,dna_length,blastx_hit,ucsc_genes,jaspar_tfs
15,Transcription|Chromatin|Structural,11,10,chr14:829273-829310,,,,,,CONSERVED,NANOG_BOVIN homolog (e=3.7e-06) [blastx:NANOG_BOVIN],152,Q4JM65|NANOG_BOVIN|e=3.7e-06,,"ETS1×1, FOXA1×1, Ahr×2"
16,Cell cycle|Methylation|Transcription,10,3,chr14:18257-18313,,,,,,T2T_NOVEL,T2T-CHM13v2.0 only region — not in GRCh38 databases,192,Q4PBP6|NST1_MYCMD|e=4.4e-05,,Ahr×19 (high-density)
17,Cell cycle|Chromatin|Unclassified,9,12,chr1:657876-657991,PRDM16 chromatin regulator,LINC00115,lncRNA,,,NAMED_GENE,PRDM16 chromatin regulator,116,,,
18,Cytoskeleton|DNA repair|Unclassified,7,4,chr1:1153459-1153526,,,,,L1MC3|trf,REPEAT_ELEMENT,Repeat: L1MC3,200,,,
19,Unclassified|Kinase|DNA repair,6,6,chr16:5149045-5149086,,ENSG00000285567,lncRNA,,AluSz,REGULATORY,lncRNA: ENSG00000285567,144,,,
20,Chromatin|Cytoskeleton|DNA repair,6,7,chr1:29302-29319,,MIR1302-2HG|WASH7P,lncRNA,enhancer|promoter,dust,REGULATORY,lncRNA: MIR1302-2HG,60,,,
21,Transcription|Chromatin|Unclassified,6,6,chr16:1973275-1973354,,TBL3,protein_coding,,AluYc3,NAMED_GENE,protein_coding: TBL3,100,,,
22,Transcription|Chromatin|Cell adhesion,6,5,chr19:3745716-3745740,Eukaryotic synthetic chr19,TJP3,protein_coding,,MIRc,NAMED_GENE,CN165_HUMAN (e=9.5e-14) [blastx:CN165_HUMAN],100,Q86U02|CN165_HUMAN|e=9.5e-14,NM_001267560 (TJP3),
23,Unclassified|Cell adhesion|Cell cycle,5,3,chr11:1480071-1480149,chr11 FOSMID clone ABC10-44680900N2,MOB2,protein_coding,,,NAMED_GENE,MOB2 locus [blastx:FBLN1_DANRE],56,O42182|FBLN1_DANRE|e=2.5e+01,NM_053005 (MOB2),
24,Transcription|Unclassified|Cytoskeleton,5,3,chr2:7564184-7564303,,ENSG00000230515,lncRNA,,AluJr,REGULATORY,lncRNA: ENSG00000230515,304,,,
25,Chromatin|Unclassified|Cell cycle,5,4,chr17:1599832-1599926,Mus musculus chr17 conserved,SLC43A2,protein_coding,,AluY,CONSERVED,Mus musculus chr17 conserved,64,,,
26,Chromatin|Unclassified|Transcription,5,6,chr13:1761148-1761204,LOC124908430 collagen ncRNA,,,,,REGULATORY,LOC124908430 collagen ncRNA,132,,,
27,Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin,5,1,chr21:1636364-1636412,,,,,,CONSERVED,RPB1_CAEBR homolog (e=7.2e-06) [blastx:RPB1_CAEBR],196,P35074|RPB1_CAEBR|e=7.2e-06,,"ETS1×1, ZNF143×5, Ahr×2"
28,Unclassified|Kinase|RNA processing,4,3,chr2:980748-980781,,SNTG2,protein_coding,,(CA)n|trf|dust,NAMED_GENE,protein_coding: SNTG2,112,,,
29,Cell cycle|Cytoskeleton|DNA repair,4,1,chr3:3819549-3819577,,LRRN1|SUMF1,protein_coding,,MLT1C,NAMED_GENE,protein_coding: LRRN1,116,,,
30,Unclassified|Proteolysis|Cytoskeleton,4,3,chr10:11057345-11057383,,ENSG00000309990|CELF2,lncRNA|protein_coding,,,NAMED_GENE,protein_coding: ENSG00000309990,148,,,
31,Proteolysis|Unclassified|Cell cycle,4,3,chr2:3803504-3803514,,DCDC2C,protein_coding,,,NAMED_GENE,protein_coding: DCDC2C,44,,,
32,Transcription|Unclassified|Cell cycle,4,1,chr5:14256519-14256626,,TRIO,protein_coding,,L1ME3E,NAMED_GENE,protein_coding: TRIO,432,,,
33,Unclassified|Structural|Cell cycle,4,4,chr11:3071610-3071654,MICAL2 microtubule monooxygenase,,,,L1MC4,NAMED_GENE,MICAL2 microtubule monooxygenase,156,,,
34,Cytoskeleton|Chromatin|Transcription|Chromatin,3,2,chr2:13104198-13104287,,ENSG00000285876,lncRNA,,,REGULATORY,lncRNA: ENSG00000285876,248,,,
35,Cytoskeleton|Transcription|Chromatin,3,2,chr2:6270178-6270255,,ENSG00000234275,lncRNA,,L1MCc,REGULATORY,lncRNA: ENSG00000234275,312,,,
36,Proteolysis|Unclassified|Cytoskeleton,3,4,chr13:7233796-7233833,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,144,Q96CB5|CH044_HUMAN|e=1.2e+00,,"ESR1×2, ZNF143×2, SP1×1"
37,Chromatin|Ubiquitin|Unclassified,3,4,chr15:455841-455916,,,,,,REPEAT_ELEMENT,LINE-1 retrotransposon ORF2 [blastx:LORF2_HUMAN],92,O00370|LORF2_HUMAN|e=8.9e+00,,MAFB×1
38,Cell cycle|Unclassified|Cytoskeleton,2,3,chr16:188478-188553,,,,enhancer,AluJb|trf|dust,REGULATORY,Regulatory: ['enhancer'],196,,,
39,Chromatin|Structural|Unclassified,2,2,chr4:4904796-4904877,,,,,HERV16-int,REPEAT_ELEMENT,Repeat: HERV16-int,188,,,
40,Cytoskeleton|Unclassified|Cell cycle,2,2,chr1:32840889-32840935,,S100PBP,protein_coding,,AluYm1|L1ME1,NAMED_GENE,protein_coding: S100PBP,188,,,
41,Cytoskeleton|Unclassified|Nuc acid bind,2,1,chr21:38452-38569,,,,,,T2T_NOVEL,T2T-CHM13v2.0 only region — not in GRCh38 databases,472,P04050|RPB1_YEAST|e=1.3e+00,,"ZNF143×12, Ahr×2, RUNX1×4"
42,RNA processing|Unclassified|DNA repair,2,2,chr6:23474170-23474209,,ENSG00000289368,lncRNA,,MLT1J1,REGULATORY,lncRNA: ENSG00000289368,160,,,
43,Structural|Transcription|Chromatin,2,2,chr18:93763-93855,,ENSG00000298512,lncRNA,,AluY,REGULATORY,lncRNA: ENSG00000298512,96,,,
44,Transcription|Unclassified|Chromatin,2,2,chr2:8188796-8188895,,LINC00299,lncRNA,,L1MEd|MER1A,REGULATORY,lncRNA: LINC00299,368,,,
45,Unclassified|Cell adhesion|DNA repair,2,2,chr13:12253272-12253317,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,184,Q99959|PKP2_HUMAN|e=4.4e+00,,"ESR1×1, RUNX3×2, GATA2×2"
46,Unclassified|Cell cycle|Chromatin,2,5,chr1:9728207-9728311,,PIK3CD,protein_coding,,MER5A,NAMED_GENE,protein_coding: PIK3CD,176,,,
47,Unclassified|Cell cycle|Structural,2,2,chr2:32595240-32595333,,BIRC6,protein_coding,,dust,NAMED_GENE,protein_coding: BIRC6,152,,,
48,Unclassified|Chromatin|Ubiquitin,2,3,chr1:23864350-23864446,,FUCA1,protein_coding,,AluY,NAMED_GENE,protein_coding: FUCA1,384,,,
49,Unclassified|Kinase|Chromatin,2,3,chr17:13053228-13053321,,ENSG00000273098,lncRNA,,,REGULATORY,lncRNA: ENSG00000273098,140,,,
50,Unclassified|Kinase|Proteolysis,2,2,chr3:30028293-30028326,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,112,P19273|COA4_TTV1K|e=5.4e+00,,"GATA3×1, Ahr×1, SP1×1"
51,Unclassified|RNA processing|Chromatin,2,1,chr2:21786338-21786384,,ENSG00000231204,lncRNA,,L1ME3Cz,REGULATORY,lncRNA: ENSG00000231204,188,,,
52,Unclassified|Structural|Ubiquitin,2,2,chr3:16834458-16834482,SUCLG2 succinate-CoA ligase,ENSG00000299166|PLCL2,lncRNA|protein_coding,CTCF_binding_site,,NAMED_GENE,SUCLG2 succinate-CoA ligase,100,,,
53,RNA processing|Unclassified|Chromatin,1,2,chr1:13081511-13081527,TUT4 terminal uridylyl transferase,,,,AluSx|dust,NAMED_GENE,TUT4 terminal uridylyl transferase,68,,,
54,Cytoskeleton|Chromatin|Structural,1,1,chr20:9558907-9559039,,PAK5,protein_coding,,MamTip2|MIRb|trf,NAMED_GENE,protein_coding: PAK5,532,,,
55,Cell adhesion|Unclassified|Cell cycle,1,4,chr1:4686851-4686952,chr1p35 clone RP1-93P18,AJAP1,protein_coding,,,NAMED_GENE,AJAP1 locus [blastx:MACD1_BOVIN],324,Q2KHU5|MACD1_BOVIN|e=4.0e-02,NM_001042478 (AJAP1),
56,Structural|Chromatin|Transcription,1,1,chr19:1787247-1787341,,ATP8B3,protein_coding,,,NAMED_GENE,protein_coding: ATP8B3,380,,,
57,Cell cycle|RNA processing|Cytoskeleton|Unclassified,1,1,chr2:18282073-18282134,lncRNA TCONS_00148834,KCNS3,protein_coding,,L1MEi,REGULATORY,lncRNA TCONS_00148834,248,,,
58,Structural|Unclassified|Cell cycle,1,2,chr17:9959268-9959331,Mus musculus chr17 conserved,GAS7,protein_coding,,,CONSERVED,Mus musculus chr17 conserved,256,,,
59,Structural|Unclassified|Kinase,1,1,chr19:2738690-2738764,,SLC39A3|ENSG00000267001,protein_coding,,trf|AluSx1,NAMED_GENE,protein_coding: SLC39A3,300,,,
60,Structural|Unclassified|RNA processing,1,1,chr1:49816693-49816809,,AGBL4,protein_coding,,,NAMED_GENE,protein_coding: AGBL4,468,,,
61,Transcription|Cell cycle|Chromatin,1,1,chr10:6061442-6061540,KIAA1217 large gene,IL2RA,protein_coding,,(CATATA)n,NAMED_GENE,KIAA1217 large gene,396,,,
62,Cytoskeleton|Chromatin|RNA processing,1,1,chr16:7345833-7345895,,RBFOX1,protein_coding,,L1PA5|dust|AT_rich,NAMED_GENE,protein_coding: RBFOX1,252,,,
63,Chromatin|Unclassified|Methylation,1,1,chr16:1121589-1121679,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,364,Q8N2A0|CX062_HUMAN|e=1.6e+00,,"SP1×9, Ahr×3, GATA3×1"
64,Chromatin|Unclassified|DNA repair,1,2,chr12:20319997-20320097,,,,,AluSp|dust,REPEAT_ELEMENT,Repeat: AluSp,208,,,
65,Chromatin|Structural|Cell cycle|Chromatin,1,1,chr17:12181361-12181401,,,,,dust|L2,REPEAT_ELEMENT,Repeat: dust,164,,,
66,Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,1,chr22:27273-27467,,,,,,T2T_NOVEL,T2T-CHM13v2.0 only region — not in GRCh38 databases,780,P08775|RPB1_MOUSE|e=1.9e+00,,"ZNF143×17, Ahr×7, RUNX1×5"
67,Cell cycle|Cytoskeleton|Unclassified,1,1,chr17:19297809-19297877,,EPN2-AS1|EPN2,lncRNA|protein_coding,,dust|AluSx4,NAMED_GENE,protein_coding: EPN2-AS1,276,,,
68,Chromatin|RNA processing|Unclassified,1,1,chr12:23337012-23337111,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,168,Q96CB5|CH044_HUMAN|e=2.5e+00,,"GATA2×1, ZNF143×2, Ahr×1"
69,Unclassified|Cell cycle|DNA repair,1,2,chr15:6765662-6765707,,,,,,NAMED_GENE,CH044_HUMAN (e=1.0e-17) [blastx:CH044_HUMAN],144,Q96CB5|CH044_HUMAN|e=1.0e-17,,"ESR1×2, RUNX3×1, SP1×2"
70,Unclassified|Cell cycle|Methylation,1,1,chr14:1007116-1007276,,,,,,CONSERVED,RNA pol II RPB1 homolog (e=5.0e-15) [blastx:RPB1_CAEBR],352,P35074|RPB1_CAEBR|e=5.0e-15,,"ETS1×2, ZNF143×6, RUNX1×3"
71,Unclassified|Cell cycle|RNA processing,1,2,chr16:13820971-13821045,,,,,dust|AluSx1,REPEAT_ELEMENT,Repeat: dust,124,,,
72,Cell cycle|Chromatin|Transcription,1,2,chr14:4928358-4928460,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,264,Q8N2A0|CX062_HUMAN|e=1.5e+00,,"SP1×8, MAFB×1, Ahr×3"
73,Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified,1,1,chr14:10678-10796,,,,,,T2T_NOVEL,T2T-CHM13v2.0 only region — not in GRCh38 databases,420,P36594|RPB1_SCHPO|e=7.5e+00,,"ZNF143×8, RUNX1×6, GATA3×2"
74,Chromatin|RNA processing|Transcription,1,1,chr6:9262498-9262573,,HULC,lncRNA,,THE1C,REGULATORY,lncRNA: HULC,304,,,
75,Chromatin|Cytoskeleton|Unclassified,1,2,chr10:11705990-11706051,,ENSG00000308311,lncRNA,,L2c,REGULATORY,lncRNA: ENSG00000308311,248,,,
76,Unclassified|Chromatin|Transcription,1,1,chr19:10982089-10982141,,SMARCA4,protein_coding,,AluSx|trf|dust,NAMED_GENE,protein_coding: SMARCA4,212,,,
77,Unclassified|Structural|Cytoskeleton,1,2,chr17:3241783-3241819,,,,,,NAMED_GENE,OR1FC_HUMAN (e=1.0e-10) [blastx:OR1FC_HUMAN],148,Q8NHA8|OR1FC_HUMAN|e=1.0e-10,"NM_003552, NR_145519","ESR1×1, RUNX3×2, ZNF143×1"
78,Unclassified|Cytoskeleton|Chromatin,1,2,chr1:6703106-6703208,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,412,Q6UX73|CP089_HUMAN|e=2.9e+00,,"GATA3×2, SP1×6, ZNF143×4"
79,Chromatin|Cell adhesion|RNA processing,1,1,chr19:12503237-12503270,,ZNF709|ENSG00000196826|MTND2P40,unprocessed_pseudogene|protein_coding,,,NAMED_GENE,protein_coding: ZNF709,136,,,
80,Unclassified|Transcription|Chromatin,1,3,chr11:7274638-7274670,,SYT9,protein_coding,,AluSx,NAMED_GENE,protein_coding: SYT9,132,,,
81,Cell cycle|Unclassified|Kinase,1,1,chr7:38749688-38749760,DPP6 dipeptidyl peptidase 6,VPS41,protein_coding,,,NAMED_GENE,DPP6 dipeptidyl peptidase 6,292,,,
82,DNA repair|Unclassified|Cell cycle,1,1,chr3:32871015-32871141,,TRIM71,protein_coding,,MIR3|AluJb|dust,NAMED_GENE,protein_coding: TRIM71,508,,,
83,Phosphatase|Chromatin|Unclassified,1,1,chr11:15741928-15742010,,ENSG00000254645,lncRNA,,MLT1J2,REGULATORY,lncRNA: ENSG00000254645,332,,,
84,Cytoskeleton|Unclassified|Kinase,1,2,chr16:329633-329678,,AXIN1,protein_coding,,AluSx|AluYf1|dust,NAMED_GENE,protein_coding: AXIN1,184,,,
85,Cytoskeleton|Unclassified|DNA repair,1,2,chr1:3262084-3262224,,PRDM16,protein_coding,,MIR,NAMED_GENE,protein_coding: PRDM16,516,,,
86,Proteolysis|Unclassified|Kinase,1,1,chr10:28632319-28632329,,,,enhancer,AluJb,REGULATORY,Regulatory: ['enhancer'],44,,,
87,RNA processing|Chromatin|Unclassified,1,1,chr17:4088738-4088830,,ZZEF1,protein_coding,,,NAMED_GENE,protein_coding: ZZEF1,372,,,
88,Cytoskeleton|DNA repair|Cell cycle|Chromatin,1,1,chr1:8722716-8722815,,RERE,protein_coding,,MER2,NAMED_GENE,protein_coding: RERE,392,,,
89,Cell cycle|Chromatin|RNA processing,17,13,chr1:939848-939975,O00370|LINE1_ORF2,,,,,REPEAT_ELEMENT,LINE-1 retrotransposable element ORF2 protein [from original blastn],92,,,
90,RNA processing|Unclassified|Cytoskeleton,10,5,chr19:412713-412745,Q8NHA8|OR1F12P,,,,,NAMED_GENE,Putative olfactory receptor 1F12P [from original blastn],132,,,
91,Unclassified|Cytoskeleton|Protein folding,5,4,chr19:4539289-4539325,P51957|NEK4,,,,,NAMED_GENE,Serine/threonine-protein kinase NEK4 [from original blastn],132,,,
92,Cell adhesion|Chromatin|RNA processing,2,1,chr20:13793451-13793535,Q6UX73|C16orf89,,,,,NAMED_GENE,UPF0764 protein C16orf89 [from original blastn],340,,,
93,Cell cycle|Chromatin|DNA repair,2,2,chr14:24178376-24178427,Q6B4Z3|UTY,,,,,NAMED_GENE,Histone demethylase UTY [from original blastn],208,,,
94,Cell cycle|Unclassified|Chromatin,2,1,chr20:4363303-4363371,Q8N9N2|ASCC1,,,,,NAMED_GENE,Activating signal cointegrator 1 complex sub1 [from original blastn],276,,,
95,RNA processing|Cell cycle|Unclassified,2,1,chr22:5304202-5304258,Q6UX73|C16orf89,,,,,NAMED_GENE,UPF0764 protein C16orf89 [from original blastn],228,,,
96,Unclassified|RNA processing|Cytoskeleton,2,3,chr14:6592114-6592151,Q8N976|ANKRD36B,,,,,NAMED_GENE,Ankyrin repeat domain-containing protein 36B [from original blastn],148,,,
97,Transcription|Chromatin|Cell cycle,1,2,chr17:829102-829181,O00370|LINE1_ORF2,,,,,REPEAT_ELEMENT,LINE-1 retrotransposable element ORF2 protein [from original blastn],320,,,
98,Transcription|Chromatin|Cytoskeleton,1,1,chr12:17620339-17620424,Q96N38|ZNF714,,,,,NAMED_GENE,Zinc finger protein 714 [from original blastn],344,,,
99,Cytoskeleton|Cell cycle|Chromatin,1,2,chr12:12271429-12271508,Q86U02|C11orf65,,,,,NAMED_GENE,Putative uncharacterized protein C11orf65 [from original blastn],320,,,
100,Chromatin|Unclassified|RNA processing,1,1,chr17:15043876-15043997,Q8N2A0|C20orf204,,,,,NAMED_GENE,Putative uncharacterized protein C20orf204 [from original blastn],488,,,
101,Chromatin|Transcription|Unclassified,1,1,chr4:5125006-5125108,Q86U02|C11orf65,,,,,NAMED_GENE,Putative uncharacterized protein C11orf65 [from original blastn],412,,,
102,Unclassified|Kinase|Structural,1,1,chr14:23980692-23980705,Q8NHA8|OR1F12P,,,,,NAMED_GENE,Putative olfactory receptor 1F12P [from original blastn],56,,,
103,Chromatin|Transcription|RNA processing,1,1,chr12:33228361-33228453,Q6UX73|C16orf89,,,,,NAMED_GENE,UPF0764 protein C16orf89 [from original blastn],372,,,
104,Chromatin|Structural|Cytoskeleton,1,1,chr11:25174958-25175013,Q6UX73|C16orf89,,,,,NAMED_GENE,UPF0764 protein C16orf89 [from original blastn],224,,,
105,Chromatin|Structural|Cell cycle|RNA processing,1,1,chr9:26230721-26230822,Q8WTZ3|ZNF878,,,,,NAMED_GENE,Zinc finger protein (ENSP00000375434) [from original blastn],408,,,
106,Unclassified|Cell cycle|Proteolysis,1,1,chr17:16578657-16578689,Q96CB5|C8orf44,,,,,NAMED_GENE,Putative uncharacterized protein C8orf44 [from original blastn],132,,,
107,Chromatin|Cell adhesion|Transcription,1,1,chr11:1842232-1842313,Q8N2A0|C20orf204,,,,,NAMED_GENE,Putative uncharacterized protein C20orf204 [from original blastn],328,,,
108,Unclassified|Cytoskeleton|Transcription,1,1,chr14:12260514-12260567,Q6B4Z3|UTY,,,,,NAMED_GENE,Histone demethylase UTY [from original blastn],216,,,
109,Unclassified|DNA repair|Transcription,1,1,chrx:37890644-37890695,Q8N7I0|GVQW1,,,,,NAMED_GENE,Protein GVQW1 [from original blastn],208,,,
110,Cell cycle|Unclassified|RNA processing,1,1,chr3:36295704-36295791,Q96MD7|C9orf85,,,,,NAMED_GENE,Uncharacterized protein C9orf85 [from original blastn],352,,,
111,Protein folding|Unclassified|Cytoskeleton,1,1,chr16:685551-685688,Q96N38|ZNF714,,,,,NAMED_GENE,Zinc finger protein 714 [from original blastn],552,,,
112,Proteolysis|Unclassified|Structural,1,1,chrx:27516033-27516055,Q9P1C3|DSCR4,,,,,NAMED_GENE,Putative uncharacterized protein [from original blastn],92,,,
113,RNA processing|Cell cycle|Chromatin,1,1,chr9:26026823-26026883,Q8WTZ3|ZNF878,,,,,NAMED_GENE,Zinc finger protein (ENSP00000375434) [from original blastn],244,,,
114,Cell cycle|Transcription|Chromatin,1,1,chr22:6360170-6360254,Q8N7I0|GVQW1,,,,,NAMED_GENE,Protein GVQW1 [from original blastn],340,,,
115,RNA processing|Chromatin|Transcription|Chromatin,1,1,chr13:11468184-11468254,Q96NF6|ANKRD11,,,,,NAMED_GENE,Putative uncharacterized protein [from original blastn],284,,,
116,Cytoskeleton|RNA processing|Unclassified|RNA processing,1,1,chr10:26005474-26005545,Q96CB5|C8orf44,,,,,NAMED_GENE,Putative uncharacterized protein C8orf44 [from original blastn],288,,,
