function_sequence,recurrence,n_funcs,n_chromosomes,chromosomes,program_count
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation,34,5,1,chr22,34
Transcription|Cytoskeleton|Phosphatase|Unclassified,33,4,2,"chr15,chr21",60
Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,30,3,1,chr22,30
Unclassified|Chromatin|Cytoskeleton,25,3,10,"chr1,chr10,chr14,chr2,chr3,chr5,chr6,chr8,chr9,chrx",38
Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,24,3,1,chr22,24
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified|Cell cycle|Methylation,23,5,1,chr15,23
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,23,3,1,chr22,23
Cell cycle|Chromatin|Transcription|Chromatin|Unclassified,20,4,2,"chr21,chr22",20
Transcription|Chromatin|RNA processing,18,3,9,"chr1,chr11,chr15,chr17,chr2,chr3,chr5,chr7,chr8",27
RNA processing|Phosphatase|RNA processing|Phosphatase|Transcription|Ion channel|Transcription|Ion channel|Transcription,18,4,1,chr22,18
Cell cycle|Chromatin|RNA processing,17,3,13,"chr1,chr11,chr12,chr14,chr15,chr18,chr19,chr2,chr22,chr3,chr5,chr8,chrx",30
Unclassified|Kinase|Cytoskeleton,17,3,13,"chr1,chr10,chr11,chr12,chr14,chr15,chr19,chr2,chr3,chr5,chr8,chr9,chrx",28
Unclassified|Chromatin|Cytoskeleton|DNA repair,16,4,13,"chr1,chr10,chr15,chr16,chr2,chr21,chr3,chr4,chr5,chr6,chr8,chr9,chrx",27
Unclassified|Cell cycle|Cytoskeleton,15,3,14,"chr1,chr10,chr11,chr12,chr15,chr17,chr20,chr3,chr4,chr5,chr6,chr7,chr8,chr9",24
RNA processing|Unclassified|Cell cycle,15,3,10,"chr1,chr10,chr12,chr16,chr19,chr2,chr3,chr4,chr8,chr9",28
Unclassified|Kinase|Cytoskeleton|DNA repair,14,4,10,"chr1,chr12,chr17,chr18,chr2,chr20,chr3,chr5,chr6,chr7",21
Unclassified|Chromatin|DNA repair,14,3,5,"chr1,chr2,chr3,chr5,chr7",15
Transcription|Phosphatase|Unclassified,14,3,1,chr21,14
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,14,4,1,chr22,14
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle,14,4,1,chr22,14
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified|Cell cycle,13,4,1,chr15,13
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified,13,3,1,chr21,13
Chromatin|Unclassified|Cytoskeleton,12,3,8,"chr14,chr16,chr20,chr22,chr5,chr6,chr7,chr9",15
Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,12,4,1,chr22,12
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified|Cell cycle|Methylation|Transcription,12,6,1,chr15,12
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,12,5,1,chr22,12
Unclassified|RNA processing|Cell cycle,11,3,10,"chr1,chr10,chr13,chr15,chr16,chr17,chr5,chr6,chr7,chrx",27
Transcription|Chromatin|Structural,11,3,10,"chr14,chr16,chr18,chr20,chr21,chr4,chr5,chr7,chr8,chr9",14
Cell cycle|Chromatin|Structural,11,3,8,"chr10,chr15,chr16,chr19,chr2,chr5,chr7,chr9",17
RNA processing|Unclassified|Cytoskeleton,10,3,5,"chr19,chr21,chr4,chr6,chr8",10
RNA processing|Unclassified|Cytoskeleton|DNA repair,10,4,4,"chr14,chr2,chr3,chr9",13
Cell cycle|Methylation|Transcription,10,3,3,"chr14,chr15,chr21",40
Cell cycle|Chromatin|Unclassified,9,3,12,"chr1,chr12,chr13,chr14,chr15,chr17,chr2,chr20,chr3,chr4,chr6,chr7",80
Chromatin|Transcription|Chromatin|Unclassified,9,3,9,"chr12,chr13,chr2,chr20,chr3,chr6,chr7,chr8,chrx",14
Chromatin|Transcription|Chromatin|RNA processing,9,3,9,"chr1,chr10,chr11,chr12,chr14,chr3,chr5,chr6,chr8",21
Unclassified|Kinase|Cell cycle|Unclassified,9,3,6,"chr10,chr2,chr20,chr22,chr6,chr8",10
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle,9,4,1,chr21,9
Unclassified|Kinase|Cell cycle|Cytoskeleton,8,4,9,"chr11,chr12,chr19,chr2,chr20,chr3,chr7,chr9,chrx",11
Unclassified|RNA processing|Cytoskeleton|Unclassified,8,3,5,"chr14,chr20,chr4,chr6,chrx",11
Unclassified|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton,8,3,5,"chr11,chr15,chr3,chr4,chr6",16
Unclassified|Cytoskeleton|DNA repair|Unclassified,8,3,3,"chr4,chr6,chrx",8
Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Nuc acid bind|Cell cycle|Nuc acid bind|Methylation|Nuc acid bind|Methylation|Nuc acid bind|Methylation|Cell cycle|Methylation|Cell cycle,8,5,1,chr21,8
Unclassified|Nuc acid bind|Cell cycle|Nuc acid bind|Cell cycle|Nuc acid bind|Methylation|Nuc acid bind|Methylation|Nuc acid bind|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,8,5,1,chr21,8
Unclassified|Cell cycle|RNA processing|Cell cycle,7,3,8,"chr10,chr18,chr22,chr3,chr4,chr6,chr9,chrx",9
Cytoskeleton|DNA repair|Unclassified,7,3,4,"chr1,chr11,chr17,chr7",13
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription,7,5,1,chr22,7
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription,7,6,1,chr22,7
Chromatin|Cytoskeleton|DNA repair,6,3,7,"chr1,chr12,chr16,chr17,chr19,chr2,chr22",16
Unclassified|Kinase|DNA repair,6,3,6,"chr16,chr3,chr4,chr6,chr7,chr8",7
Transcription|Chromatin|Unclassified,6,3,6,"chr16,chr17,chr19,chr2,chr3,chrx",12
Transcription|Chromatin|Cell adhesion,6,3,5,"chr19,chr22,chr3,chr4,chr6",6
Chromatin|Transcription|Chromatin|Cell cycle,6,3,3,"chr3,chr7,chrx",6
Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,6,6,1,chr22,6
Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin,6,4,1,chr22,6
Unclassified|Cell adhesion|Unclassified|Cell cycle,6,3,1,chr22,6
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,6,4,1,chr22,6
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,6,4,1,chr22,6
Cell cycle|Methylation|Cell cycle|Methylation|Transcription,6,3,1,chr22,6
Ubiquitin|Unclassified|Cell cycle,6,3,1,chr2,6
Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,6,5,1,chr21,6
Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin,6,6,1,chr22,6
Chromatin|Unclassified|Transcription,5,3,6,"chr13,chr15,chr17,chr2,chr3,chr5",10
Unclassified|Cytoskeleton|Protein folding,5,3,4,"chr19,chr2,chr5,chr6",5
Chromatin|Unclassified|Cell cycle,5,3,4,"chr17,chr19,chr3,chr9",9
Unclassified|Cytoskeleton|DNA repair|Cytoskeleton,5,3,3,"chr17,chr20,chr9",6
Unclassified|Kinase|Cell cycle|RNA processing|Unclassified,5,4,3,"chr15,chr19,chrx",7
Unclassified|Cell cycle|Methylation|Transcription,5,4,3,"chr14,chr15,chr21",141
Unclassified|Cell adhesion|Cell cycle,5,3,3,"chr11,chr19,chr4",9
Transcription|Unclassified|Cytoskeleton,5,3,3,"chr2,chr3,chr6",5
Unclassified|Cytoskeleton|DNA repair|Cell cycle,5,4,2,"chr2,chr8",5
RNA processing|Chromatin|Cytoskeleton,5,3,2,"chr19,chr6",5
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin,5,3,1,chr21,5
Unclassified|Cytoskeleton|Cell cycle,4,3,4,"chr11,chr12,chr19,chr6",7
Unclassified|Kinase|Cell cycle|DNA repair,4,4,4,"chr19,chr2,chr4,chr9",4
Unclassified|Structural|Cell cycle,4,3,4,"chr11,chr2,chr4,chr7",6
Proteolysis|Unclassified|Cell cycle,4,3,3,"chr2,chr3,chr4",4
Unclassified|Kinase|RNA processing,4,3,3,"chr2,chr20,chr7",4
Unclassified|Proteolysis|Cytoskeleton,4,3,3,"chr10,chr17,chr2",6
Unclassified|Cytoskeleton|Unclassified|Cell cycle,4,3,2,"chr19,chr3",4
Transcription|Chromatin|Unclassified|Transcription,4,3,2,"chr19,chr2",4
Unclassified|Cell cycle|Unclassified|Cytoskeleton|DNA repair,4,4,2,"chr3,chr6",4
Unclassified|Nuc acid bind|Cell cycle|Methylation|Transcription,4,5,1,chr15,4
Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle,4,4,1,chr15,4
Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Methylation,4,5,1,chr15,4
Transcription|Unclassified|Cell cycle,4,3,1,chr5,4
Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,4,5,1,chr21,4
Cell cycle|Transcription|Phosphatase|Chromatin|Unclassified|Transcription|RNA processing,4,6,1,chr7,4
Transport|Unclassified|Cytoskeleton|DNA repair,4,4,1,chr8,4
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,4,5,1,chr22,4
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,4,5,1,chr22,4
Transcription|Unclassified|Cytoskeleton|DNA repair,4,4,1,chr6,4
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,4,5,1,chr22,4
Kinase|Unclassified|Cytoskeleton|Chromatin|Cytoskeleton|DNA repair,4,5,1,chr19,4
Structural|Transcription|Chromatin|Cytoskeleton,4,4,1,chr2,4
Cell cycle|Cytoskeleton|DNA repair,4,3,1,chr3,4
Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle,4,5,1,chr21,4
Proteolysis|Unclassified|Cytoskeleton,3,3,4,"chr13,chr17,chr2,chr4",5
Chromatin|Ubiquitin|Unclassified,3,3,4,"chr15,chr4,chr5,chr9",4
Unclassified|Kinase|Cell cycle|RNA processing,3,4,4,"chr14,chr19,chr3,chr5",4
Unclassified|Cell cycle|Protein folding,3,3,2,"chr15,chr4",5
Unclassified|Transcription|Cytoskeleton|DNA repair,3,4,2,"chr2,chr8",3
Proteolysis|Unclassified|Ubiquitin,3,3,2,"chr1,chrx",5
Cell cycle|Chromatin|RNA processing|Chromatin,3,3,2,"chr2,chr6",3
Cytoskeleton|Chromatin|Transcription|Chromatin,3,3,2,"chr2,chr20",3
Cytoskeleton|Cell cycle|Unclassified|Cell cycle,3,3,2,"chr5,chr7",3
Cytoskeleton|Transcription|Chromatin,3,3,2,"chr2,chr8",3
DNA repair|Unclassified|Cytoskeleton|DNA repair,3,3,2,"chr16,chr4",6
Unclassified|Transcription|DNA repair,3,3,1,chr5,3
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation,3,5,1,chr21,3
Cytoskeleton|RNA processing|Unclassified|Kinase|Cytoskeleton,3,4,1,chr7,3
Chromatin|Cell cycle|Chromatin|Cytoskeleton|Cell adhesion,3,4,1,chr5,3
Unclassified|Chromatin|Unclassified|Cell cycle,3,3,1,chr19,3
Chromatin|Unclassified|Cell cycle|Methylation|Transcription,3,5,1,chr21,3
Unclassified|Chromatin|Unclassified|DNA repair,3,3,1,chr19,3
Unclassified|Kinase|Cell cycle|Proteolysis|Unclassified,3,4,1,chr8,3
Chromatin|Unclassified|Cytoskeleton|DNA repair|Chromatin|Unclassified,3,4,1,chr9,3
Chromatin|Structural|Unclassified|Cell cycle,3,4,1,chr3,3
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,3,3,1,chr22,3
Unclassified|Cytoskeleton|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton|DNA repair,3,4,1,chr15,3
Cell cycle|Cytoskeleton|DNA repair|Cell cycle|Chromatin|Transcription,3,5,1,chr6,3
Ion channel|Unclassified|Cytoskeleton|DNA repair,3,4,1,chr5,3
Cell cycle|Unclassified|Chromatin|Cytoskeleton,3,4,1,chr2,3
Chromatin|RNA processing|Structural,3,3,1,chr8,3
Transcription|Chromatin|DNA repair,3,3,1,chr20,3
Unclassified|Cell cycle|Chromatin,2,3,5,"chr1,chr14,chr17,chr2,chr5",8
Unclassified|Kinase|Cell cycle|Cytoskeleton|DNA repair,2,5,4,"chr10,chr13,chr5,chr9",6
Cell cycle|Unclassified|Cytoskeleton|DNA repair,2,4,4,"chr1,chr10,chr9,chrx",11
Unclassified|Chromatin|Ubiquitin,2,3,3,"chr1,chr6,chr7",3
Cell cycle|Unclassified|Cytoskeleton,2,3,3,"chr16,chr20,chr3",3
Unclassified|RNA processing|Cytoskeleton,2,3,3,"chr14,chr4,chr9",3
Unclassified|Kinase|RNA processing|Cell cycle,2,4,3,"chr15,chr2,chr3",3
Unclassified|Kinase|Cytoskeleton|Transcription,2,4,3,"chr11,chr7,chr9",4
Unclassified|Proteolysis|Cytoskeleton|Unclassified,2,3,3,"chr11,chr20,chr7",6
Unclassified|Kinase|Chromatin,2,3,3,"chr17,chr19,chr3",3
Unclassified|Chromatin|RNA processing,2,3,3,"chr11,chr2,chr6",3
Structural|Transcription|Chromatin,2,3,2,"chr18,chr4",4
Unclassified|Cell cycle|Structural,2,3,2,"chr2,chr5",2
Unclassified|Cell cycle|Unclassified|Cytoskeleton,2,3,2,"chr6,chr7",2
Cytoskeleton|Unclassified|Cell cycle,2,3,2,"chr1,chr4",3
Transcription|Chromatin|RNA processing|Unclassified,2,4,2,"chr19,chr5",2
Structural|Chromatin|Transcription|Chromatin,2,3,2,"chr19,chr2",2
Cell cycle|Chromatin|Unclassified|Cell cycle,2,3,2,"chr19,chr7",2
Transcription|Unclassified|Chromatin,2,3,2,"chr2,chr7",2
Unclassified|Cytoskeleton|Phosphatase,2,3,2,"chr1,chrx",3
Unclassified|DNA repair|Cytoskeleton,2,3,2,"chr2,chr6",2
Cell cycle|Chromatin|DNA repair,2,3,2,"chr14,chr8",3
Unclassified|Kinase|Cell cycle|Cytoskeleton|Unclassified,2,4,2,"chr2,chrx",2
Chromatin|Structural|Unclassified,2,3,2,"chr4,chrx",2
RNA processing|Unclassified|DNA repair,2,3,2,"chr6,chr9",2
Unclassified|Cell adhesion|DNA repair,2,3,2,"chr13,chr9",3
Cell cycle|Chromatin|Unclassified|Transcription,2,4,2,"chr16,chr7",5
Unclassified|Kinase|Proteolysis,2,3,2,"chr3,chr6",2
Chromatin|Unclassified|Cytoskeleton|DNA repair,2,4,2,"chr13,chr7",3
Unclassified|Structural|Ubiquitin,2,3,2,"chr3,chrx",2
Unclassified|RNA processing|Chromatin,2,3,1,chr2,2
Unclassified|Cytoskeleton|DNA repair|Structural,2,4,1,chr8,2
Nuc acid bind|Cytoskeleton|DNA repair,2,3,1,chr3,2
Transcription|RNA processing|Transcription|Chromatin|RNA processing,2,3,1,chr3,2
Cell cycle|Unclassified|Kinase|Unclassified,2,3,1,chr9,2
DNA repair|Chromatin|Structural|Cytoskeleton,2,4,1,chr9,2
Cytoskeleton|DNA repair|Chromatin|Cell cycle,2,4,1,chr7,2
Unclassified|Cell cycle|RNA processing|Unclassified|Protein folding,2,4,1,chrx,2
Cell cycle|Unclassified|Chromatin,2,3,1,chr20,2
Cell cycle|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton,2,3,1,chr3,2
Unclassified|Cell cycle|Proteolysis|Unclassified|Cytoskeleton,2,4,1,chr5,2
Chromatin|Transcription|Chromatin|Unclassified|Kinase|Cell cycle|Cytoskeleton,2,6,1,chr4,2
Unclassified|Kinase|RNA processing|Structural,2,4,1,chr9,2
Chromatin|RNA processing|Cell cycle,2,3,1,chr2,2
Chromatin|RNA processing|Chromatin|Unclassified,2,3,1,chr7,2
Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,2,5,1,chr21,2
Unclassified|Chromatin|DNA repair|Unclassified,2,3,1,chr5,2
Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,2,5,1,chr21,2
Proteolysis|Unclassified|Cytoskeleton|Unclassified|Chromatin|Unclassified|Transcription,2,5,1,chr5,2
RNA processing|Transcription|Chromatin|Unclassified,2,4,1,chr7,2
Cytoskeleton|Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle,2,5,1,chr21,2
Unclassified|Nuc acid bind|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,2,5,1,chr21,2
Structural|Transcription|Unclassified,2,3,1,chr8,2
Unclassified|Nuc acid bind|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,2,5,1,chr21,2
Proteolysis|Unclassified|DNA repair,2,3,1,chr6,2
Chromatin|RNA processing|Cytoskeleton,2,3,1,chr4,2
Chromatin|RNA processing|Phosphatase,2,3,1,chrx,2
Cytoskeleton|Unclassified|Nuc acid bind,2,3,1,chr21,2
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,2,4,1,chr22,2
Cytoskeleton|Unclassified|Kinase|Cell cycle,2,4,1,chr2,2
Cell adhesion|Chromatin|RNA processing,2,3,1,chr20,2
Transcription|Cell cycle|Chromatin|Structural,2,4,1,chr7,2
Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Nuc acid bind|Methylation|Cell cycle,2,5,1,chr21,2
Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cell cycle,2,3,1,chr2,2
Unclassified|RNA processing|Unclassified|Cytoskeleton,2,3,1,chr20,2
Unclassified|RNA processing|Unclassified|Cytoskeleton|Unclassified,2,3,1,chr3,2
RNA processing|Cell cycle|Unclassified,2,3,1,chr22,2
Unclassified|Cell cycle|Unclassified|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton|DNA repair,2,5,1,chrx,2
Unclassified|Cytoskeleton|Unclassified|Kinase,2,3,1,chr9,2
Unclassified|Structural|DNA repair,2,3,1,chr3,2
Chromatin|Unclassified|Cell cycle|RNA processing,2,4,1,chr7,2
Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified|Nuc acid bind|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,2,5,1,chr21,2
Unclassified|Kinase|Cell cycle|Cell adhesion,2,4,1,chr3,2
Unclassified|Cytoskeleton|RNA processing|Unclassified|RNA processing|Cytoskeleton|Unclassified,2,3,1,chr6,2
Transcription|Unclassified|Chromatin|Cytoskeleton|RNA processing,2,5,1,chr19,2
RNA processing|Unclassified|Kinase|Chromatin|Cytoskeleton,2,5,1,chrx,2
Unclassified|Structural|Unclassified|RNA processing|Unclassified|Cell adhesion,2,4,1,chr2,2
Chromatin|Structural|Transcription|Chromatin|Unclassified|Transcription,2,4,1,chr9,2
RNA processing|Unclassified|Cytoskeleton|DNA repair|Unclassified,2,4,1,chr4,2
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,2,4,1,chr22,2
Structural|Cell cycle|Chromatin|Ion channel,2,4,1,chr3,2
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation,2,4,1,chr22,2
Chromatin|Structural|Cell cycle|RNA processing|Cell cycle,2,4,1,chr9,2
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation,2,4,1,chr22,2
Cell adhesion|Unclassified|Cell cycle,1,3,4,"chr1,chr11,chr12,chr3",6
Unclassified|Transcription|Chromatin,1,3,3,"chr11,chr12,chr14",6
Unclassified|Kinase|Cell cycle|Unclassified|Cytoskeleton,1,4,3,"chr10,chr17,chr2",3
Cytoskeleton|Unclassified|Cytoskeleton|DNA repair,1,3,3,"chr1,chr17,chr19",3
Proteolysis|Unclassified|Cytoskeleton|DNA repair,1,4,3,"chr10,chr13,chr4",6
Unclassified|Cytoskeleton|Structural,1,3,3,"chr10,chr14,chr16",4
DNA repair|Unclassified|Kinase|Cell cycle,1,4,2,"chr1,chr19",2
Unclassified|Cell cycle|Cytoskeleton|DNA repair,1,4,2,"chr1,chr6",3
Unclassified|Kinase|Cell cycle|RNA processing|Cell cycle,1,4,2,"chr16,chr22",2
Proteolysis|Unclassified|Kinase|Cytoskeleton,1,4,2,"chr10,chr12",3
