chromosome,start_position,end_position,length_bytes,function_sequence,n_vocab_hits,n_distinct_funcs,recurrence,density_score,boundary_drop,entry_point,matched_primitives,named_genes,dominant_function,description
chr1,29488978,29489023,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,310.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,38765264,38765310,47,Unclassified|Cytoskeleton|DNA repair,111,3,150,0.555,555.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,38765264,38765310,47,Unclassified|Cytoskeleton|DNA repair,111,3,150,0.555,555.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,38765264,38765310,47,Unclassified|Cytoskeleton|DNA repair,111,3,150,0.555,555.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,38765264,38765310,47,Unclassified|Cytoskeleton|DNA repair,111,3,150,0.555,555.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,43476180,43476226,47,Unclassified|Cytoskeleton|DNA repair,74,3,150,0.37,148.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,43476180,43476226,47,Unclassified|Cytoskeleton|DNA repair,74,3,150,0.37,148.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,43476180,43476226,47,Unclassified|Cytoskeleton|DNA repair,74,3,150,0.37,148.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,43476180,43476226,47,Unclassified|Cytoskeleton|DNA repair,74,3,150,0.37,148.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,46547962,46548002,41,Unclassified|Cytoskeleton|DNA repair,30,3,150,0.15,150.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,46547962,46548002,41,Unclassified|Cytoskeleton|DNA repair,30,3,150,0.15,150.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,50257631,50257676,46,Unclassified|Cytoskeleton|DNA repair,32,3,150,0.16,32.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,55865419,55865463,45,Unclassified|Cytoskeleton|DNA repair,236,3,150,1.18,33.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,60581434,60581478,45,Unclassified|Cytoskeleton|DNA repair,91,3,150,0.455,182.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,60581434,60581478,45,Unclassified|Cytoskeleton|DNA repair,91,3,150,0.455,182.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,2029721,2029766,46,Unclassified|Cytoskeleton|DNA repair,39,3,150,0.195,195.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,2029721,2029766,46,Unclassified|Cytoskeleton|DNA repair,39,3,150,0.195,195.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,16944046,16944091,46,Unclassified|Cytoskeleton|DNA repair,66,3,150,0.33,330.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,20313982,20314027,46,Unclassified|Cytoskeleton|DNA repair,58,3,150,0.29,290.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,20313982,20314027,46,Unclassified|Cytoskeleton|DNA repair,58,3,150,0.29,290.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,21307629,21307674,46,Unclassified|Cytoskeleton|DNA repair,25,3,150,0.125,50.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,21307629,21307674,46,Unclassified|Cytoskeleton|DNA repair,25,3,150,0.125,50.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,21307629,21307674,46,Unclassified|Cytoskeleton|DNA repair,25,3,150,0.125,50.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,21307629,21307674,46,Unclassified|Cytoskeleton|DNA repair,25,3,150,0.125,50.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,22081582,22081627,46,Unclassified|Cytoskeleton|DNA repair,56,3,150,0.28,280.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,22081582,22081627,46,Unclassified|Cytoskeleton|DNA repair,56,3,150,0.28,280.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,24554961,24555058,98,Unclassified|Cytoskeleton|DNA repair,36,3,150,0.18,18.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,24554961,24555058,98,Unclassified|Cytoskeleton|DNA repair,36,3,150,0.18,18.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,25226643,25226781,139,Unclassified|Cytoskeleton|DNA repair,27,3,150,0.135,1.38,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,29499693,29499739,47,Unclassified|Cytoskeleton|DNA repair,21,3,150,0.105,4.2,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr10,29499693,29499739,47,Unclassified|Cytoskeleton|DNA repair,21,3,150,0.105,4.2,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,4480431,4480476,46,Unclassified|Cytoskeleton|DNA repair,25,3,150,0.125,125.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,4480431,4480476,46,Unclassified|Cytoskeleton|DNA repair,25,3,150,0.125,125.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,9873835,9873879,45,Unclassified|Cytoskeleton|DNA repair,16,3,150,0.08,0.97,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,9873835,9873879,45,Unclassified|Cytoskeleton|DNA repair,16,3,150,0.08,0.97,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,12057945,12057990,46,Unclassified|Cytoskeleton|DNA repair,31,3,150,0.155,12.4,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,12057945,12057990,46,Unclassified|Cytoskeleton|DNA repair,31,3,150,0.155,12.4,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,16168088,16168131,44,Unclassified|Cytoskeleton|DNA repair,33,3,150,0.165,165.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,18120520,18120588,69,Unclassified|Cytoskeleton|DNA repair,20,3,150,0.1,4.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,18227804,18227849,46,Unclassified|Cytoskeleton|DNA repair,140,3,150,0.7,700.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,18227804,18227849,46,Unclassified|Cytoskeleton|DNA repair,140,3,150,0.7,700.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,27130821,27130866,46,Unclassified|Cytoskeleton|DNA repair,43,3,150,0.215,215.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,31211074,31211120,47,Unclassified|Cytoskeleton|DNA repair,29,3,150,0.145,14.5,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,32530019,32530062,44,Unclassified|Cytoskeleton|DNA repair,57,3,150,0.285,285.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,32530019,32530062,44,Unclassified|Cytoskeleton|DNA repair,57,3,150,0.285,285.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr11,32530019,32530062,44,Unclassified|Cytoskeleton|DNA repair,57,3,150,0.285,285.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr12,2878477,2878606,130,Unclassified|Cytoskeleton|DNA repair,33,3,150,0.165,165.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr12,2878477,2878606,130,Unclassified|Cytoskeleton|DNA repair,33,3,150,0.165,165.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr12,7699187,7699231,45,Unclassified|Cytoskeleton|DNA repair,29,3,150,0.145,145.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr12,12159884,12159928,45,Unclassified|Cytoskeleton|DNA repair,9,3,150,0.045,45.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr12,24120054,24120099,46,Unclassified|Cytoskeleton|DNA repair,42,3,150,0.21,14.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,13899597,13899643,47,Unclassified|Cytoskeleton|DNA repair,249,3,150,1.245,71.14,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,22346861,22346906,46,Unclassified|Cytoskeleton|DNA repair,91,3,150,0.455,455.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,22949784,22949830,47,Unclassified|Cytoskeleton|DNA repair,77,3,150,0.385,385.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,22949784,22949830,47,Unclassified|Cytoskeleton|DNA repair,77,3,150,0.385,385.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,22949784,22949830,47,Unclassified|Cytoskeleton|DNA repair,77,3,150,0.385,385.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,22949784,22949830,47,Unclassified|Cytoskeleton|DNA repair,77,3,150,0.385,385.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,24421524,24421570,47,Unclassified|Cytoskeleton|DNA repair,30,3,150,0.15,150.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,24742998,24743042,45,Unclassified|Cytoskeleton|DNA repair,31,3,150,0.155,155.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,24742998,24743042,45,Unclassified|Cytoskeleton|DNA repair,31,3,150,0.155,155.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,26564861,26564906,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,310.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,26564861,26564906,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,310.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,26564861,26564906,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,310.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,26564861,26564906,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,310.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,26684508,26684551,44,Unclassified|Cytoskeleton|DNA repair,22,3,150,0.11,110.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr13,26684508,26684551,44,Unclassified|Cytoskeleton|DNA repair,22,3,150,0.11,110.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,3627927,3627972,46,Unclassified|Cytoskeleton|DNA repair,57,3,150,0.285,285.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,3627927,3627972,46,Unclassified|Cytoskeleton|DNA repair,57,3,150,0.285,285.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,11254027,11254067,41,Unclassified|Cytoskeleton|DNA repair,54,3,150,0.27,3.38,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,11254027,11254067,41,Unclassified|Cytoskeleton|DNA repair,54,3,150,0.27,3.38,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,17036536,17036581,46,Unclassified|Cytoskeleton|DNA repair,49,3,150,0.245,12.25,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,18963134,18963179,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,62.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,18963134,18963179,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,62.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr14,18963134,18963179,46,Unclassified|Cytoskeleton|DNA repair,62,3,150,0.31,62.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,11544551,11544594,44,Unclassified|Cytoskeleton|DNA repair,13,3,150,0.065,65.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,11544551,11544594,44,Unclassified|Cytoskeleton|DNA repair,13,3,150,0.065,65.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,14470387,14470432,46,Unclassified|Cytoskeleton|DNA repair,73,3,150,0.365,4.71,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,22765164,22765209,46,Unclassified|Cytoskeleton|DNA repair,34,3,150,0.17,5.23,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr15,22765164,22765209,46,Unclassified|Cytoskeleton|DNA repair,34,3,150,0.17,5.23,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr16,1911636,1911681,46,Unclassified|Cytoskeleton|DNA repair,45,3,150,0.225,225.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr16,1911636,1911681,46,Unclassified|Cytoskeleton|DNA repair,45,3,150,0.225,225.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr16,18723605,18723647,43,Unclassified|Cytoskeleton|DNA repair,19,3,150,0.095,1.46,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr16,18766697,18766742,46,Unclassified|Cytoskeleton|DNA repair,27,3,150,0.135,3.38,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr16,19976711,19976755,45,Unclassified|Cytoskeleton|DNA repair,27,3,150,0.135,135.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr16,20013754,20013798,45,Unclassified|Cytoskeleton|DNA repair,29,3,150,0.145,145.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr17,15319832,15319877,46,Unclassified|Cytoskeleton|DNA repair,54,3,150,0.27,5.68,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr17,17026528,17026574,47,Unclassified|Cytoskeleton|DNA repair,26,3,150,0.13,130.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr17,17026528,17026574,47,Unclassified|Cytoskeleton|DNA repair,26,3,150,0.13,130.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr17,17026528,17026574,47,Unclassified|Cytoskeleton|DNA repair,26,3,150,0.13,130.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr17,17026528,17026574,47,Unclassified|Cytoskeleton|DNA repair,26,3,150,0.13,130.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr17,17026528,17026574,47,Unclassified|Cytoskeleton|DNA repair,26,3,150,0.13,130.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,919264,919309,46,Unclassified|Cytoskeleton|DNA repair,42,3,150,0.21,210.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,919264,919309,46,Unclassified|Cytoskeleton|DNA repair,42,3,150,0.21,210.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,1125747,1125791,45,Unclassified|Cytoskeleton|DNA repair,42,3,150,0.21,210.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,1125747,1125791,45,Unclassified|Cytoskeleton|DNA repair,42,3,150,0.21,210.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,1815918,1815958,41,Unclassified|Cytoskeleton|DNA repair,32,3,150,0.16,64.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,3007450,3007494,45,Unclassified|Cytoskeleton|DNA repair,31,3,150,0.155,6.89,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,6611101,6611140,40,Unclassified|Cytoskeleton|DNA repair,7,3,150,0.035,4.67,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,6611101,6611140,40,Unclassified|Cytoskeleton|DNA repair,7,3,150,0.035,4.67,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,6611101,6611140,40,Unclassified|Cytoskeleton|DNA repair,7,3,150,0.035,7.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr18,13025901,13025946,46,Unclassified|Cytoskeleton|DNA repair,17,3,150,0.085,85.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr19,3435884,3435929,46,Unclassified|Cytoskeleton|DNA repair,35,3,150,0.175,175.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr19,4768300,4768343,44,Unclassified|Cytoskeleton|DNA repair,33,3,150,0.165,5.5,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr19,9678130,9678173,44,Unclassified|Cytoskeleton|DNA repair,15,3,150,0.075,75.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,61119,61163,45,Unclassified|Cytoskeleton|DNA repair,28,3,150,0.14,140.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,61119,61163,45,Unclassified|Cytoskeleton|DNA repair,28,3,150,0.14,140.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,61119,61163,45,Unclassified|Cytoskeleton|DNA repair,28,3,150,0.14,140.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,61119,61163,45,Unclassified|Cytoskeleton|DNA repair,28,3,150,0.14,140.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,3734716,3734762,47,Unclassified|Cytoskeleton|DNA repair,44,3,150,0.22,44.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,7088575,7088620,46,Unclassified|Cytoskeleton|DNA repair,35,3,150,0.175,175.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,9417712,9417757,46,Unclassified|Cytoskeleton|DNA repair,43,3,150,0.215,215.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,9417712,9417757,46,Unclassified|Cytoskeleton|DNA repair,43,3,150,0.215,215.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,10747843,10747888,46,Unclassified|Cytoskeleton|DNA repair,19,3,150,0.095,95.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,25680710,25680755,46,Unclassified|Cytoskeleton|DNA repair,26,3,150,0.13,130.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,28611056,28611102,47,Unclassified|Cytoskeleton|DNA repair,32,3,150,0.16,21.33,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,32398475,32398518,44,Unclassified|Cytoskeleton|DNA repair,33,3,150,0.165,165.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,35434464,35434509,46,Unclassified|Cytoskeleton|DNA repair,41,3,150,0.205,205.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,35434464,35434509,46,Unclassified|Cytoskeleton|DNA repair,41,3,150,0.205,205.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,35434464,35434509,46,Unclassified|Cytoskeleton|DNA repair,41,3,150,0.205,205.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,37184634,37184680,47,Unclassified|Cytoskeleton|DNA repair,97,3,150,0.485,485.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,37184634,37184680,47,Unclassified|Cytoskeleton|DNA repair,97,3,150,0.485,485.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr2,37184634,37184680,47,Unclassified|Cytoskeleton|DNA repair,97,3,150,0.485,485.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
