entry_point,hop_depth,source_chromosome,source_position,pattern_id,pattern_function,target_chromosome,target_position
chrM:0x37DC,1,chr14,3248,22281216,Cell adhesion,chr14,2913
chrM:0x37DC,1,chr14,3228,22278173,Cell adhesion,chr14,2914
chrM:0x37DC,1,chr14,3248,22278173,Cell adhesion,chr14,2914
chrM:0x37DC,1,chr14,3228,22277468,Cell adhesion,chr14,2916
chrM:0x37DC,1,chr14,3248,22277468,Cell adhesion,chr14,2916
chrM:0x37DC,1,chr14,3248,22281218,Cell adhesion,chr14,2917
chrM:0x37DC,1,chr14,3228,22281218,Cell adhesion,chr14,2917
chrM:0x37DC,1,chr14,3248,22278175,Cell adhesion,chr14,2918
chrM:0x37DC,1,chr14,3228,22278175,Cell adhesion,chr14,2918
chrM:0x37DC,1,chr14,3248,22405288,Cell adhesion,chr14,2920
chrM:0x37DC,1,chr14,3228,22405288,Cell adhesion,chr14,2920
chrM:0x37DC,1,chr14,3228,22277472,Cell adhesion,chr14,2920
chrM:0x37DC,1,chr14,3228,22357963,Cell adhesion,chr14,2920
chrM:0x37DC,1,chr14,3248,22357963,Cell adhesion,chr14,2920
chrM:0x37DC,1,chr14,3248,22277472,Cell adhesion,chr14,2920
chrM:0x37DC,1,chr14,3228,22202078,Cell adhesion,chr14,2921
chrM:0x37DC,1,chr14,3248,22202078,Cell adhesion,chr14,2921
chrM:0x37DC,1,chr14,3248,22281220,Cell adhesion,chr14,2921
chrM:0x37DC,1,chr14,3228,22281220,Cell adhesion,chr14,2921
chrM:0x37DC,1,chr14,3248,22199106,Cell adhesion,chr14,2922
chrM:0x37DC,1,chr14,3228,22199106,Cell adhesion,chr14,2922
chrM:0x37DC,1,chr14,3248,22277473,Cell adhesion,chr14,2924
chrM:0x37DC,1,chr14,3248,22198352,Cell adhesion,chr14,2924
chrM:0x37DC,1,chr14,3228,22198352,Cell adhesion,chr14,2924
chrM:0x37DC,1,chr14,3228,22277473,Cell adhesion,chr14,2924
chrM:0x37DC,1,chr14,3228,22202080,Cell adhesion,chr14,2925
chrM:0x37DC,1,chr14,3248,22202080,Cell adhesion,chr14,2925
chrM:0x37DC,1,chr14,3228,22281222,Cell adhesion,chr14,2925
chrM:0x37DC,1,chr14,3248,22281222,Cell adhesion,chr14,2925
chrM:0x37DC,1,chr14,3228,22199113,Cell adhesion,chr14,2926
chrM:0x37DC,1,chr14,3248,22199113,Cell adhesion,chr14,2926
chrM:0x37DC,1,chr14,3248,22405290,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3228,22405290,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3248,22357964,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3228,22357964,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3228,22198354,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3248,22277475,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3248,22198354,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3228,22277475,Cell adhesion,chr14,2928
chrM:0x37DC,1,chr14,3228,22202081,Cell adhesion,chr14,2929
chrM:0x37DC,1,chr14,3248,22202081,Cell adhesion,chr14,2929
chrM:0x37DC,1,chr14,3248,22281225,Cell adhesion,chr14,2929
chrM:0x37DC,1,chr14,3228,22281225,Cell adhesion,chr14,2929
chrM:0x37DC,1,chr14,3228,2215842,Cell adhesion,chr14,2931
chrM:0x37DC,1,chr14,3248,2215842,Cell adhesion,chr14,2931
chrM:0x37DC,1,chr14,3228,2215843,Cell adhesion,chr14,2932
chrM:0x37DC,1,chr14,3248,22198356,Cell adhesion,chr14,2932
chrM:0x37DC,1,chr14,3228,22277476,Cell adhesion,chr14,2932
chrM:0x37DC,1,chr14,3248,22277476,Cell adhesion,chr14,2932
chrM:0x37DC,1,chr14,3248,2215843,Cell adhesion,chr14,2932
chrM:0x37DC,1,chr14,3228,22198356,Cell adhesion,chr14,2932
chrM:0x37DC,1,chr14,3248,2216644,Cell adhesion,chr14,2933
chrM:0x37DC,1,chr14,3228,22281227,Cell adhesion,chr14,2933
chrM:0x37DC,1,chr14,3228,2216644,Cell adhesion,chr14,2933
chrM:0x37DC,1,chr14,3248,22202083,Cell adhesion,chr14,2933
chrM:0x37DC,1,chr14,3228,22202083,Cell adhesion,chr14,2933
chrM:0x37DC,1,chr14,3248,22281227,Cell adhesion,chr14,2933
chrM:0x37DC,1,chr14,3248,2216645,Cell adhesion,chr14,2934
chrM:0x37DC,1,chr14,3228,2216645,Cell adhesion,chr14,2934
chrM:0x37DC,1,chr14,3248,2216646,Cell adhesion,chr14,2935
chrM:0x37DC,1,chr14,3228,2216646,Cell adhesion,chr14,2935
chrM:0x37DC,1,chr14,3228,22198357,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3228,22405291,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3228,22277477,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,22405291,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3228,2216647,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3228,1948794,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,22198357,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,1948794,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,22357967,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3228,22357967,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,2216647,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,22277477,Cell adhesion,chr14,2936
chrM:0x37DC,1,chr14,3248,21873244,Cell adhesion,chr14,2937
chrM:0x37DC,1,chr14,3228,1948795,Cell adhesion,chr14,2937
chrM:0x37DC,1,chr14,3248,22202085,Cell adhesion,chr14,2937
chrM:0x37DC,1,chr14,3228,21873244,Cell adhesion,chr14,2937
chrM:0x37DC,1,chr14,3248,1948795,Cell adhesion,chr14,2937
chrM:0x37DC,1,chr14,3228,22202085,Cell adhesion,chr14,2937
chrM:0x37DC,1,chr14,3228,1949478,Cell adhesion,chr14,2938
chrM:0x37DC,1,chr14,3228,21873249,Cell adhesion,chr14,2938
chrM:0x37DC,1,chr14,3248,1949478,Cell adhesion,chr14,2938
chrM:0x37DC,1,chr14,3248,21873249,Cell adhesion,chr14,2938
chrM:0x37DC,1,chr14,3248,21873251,Cell adhesion,chr14,2939
chrM:0x37DC,1,chr14,3228,1949479,Cell adhesion,chr14,2939
chrM:0x37DC,1,chr14,3228,21873251,Cell adhesion,chr14,2939
chrM:0x37DC,1,chr14,3248,1949479,Cell adhesion,chr14,2939
chrM:0x37DC,1,chr14,3248,22277478,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3248,1949480,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3248,22198359,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3228,22198359,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3228,1949480,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3228,22277478,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3248,21873253,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3228,21873253,Cell adhesion,chr14,2940
chrM:0x37DC,1,chr14,3248,22202088,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3228,21873255,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3228,22202088,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3248,1676970,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3248,21873255,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3248,1949481,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3228,1676970,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3228,1949481,Cell adhesion,chr14,2941
chrM:0x37DC,1,chr14,3228,1676971,Cell adhesion,chr14,2942
chrM:0x37DC,1,chr14,3248,21664143,Cell adhesion,chr14,2942
chrM:0x37DC,1,chr14,3228,21873257,Cell adhesion,chr14,2942
chrM:0x37DC,1,chr14,3248,1676971,Cell adhesion,chr14,2942
chrM:0x37DC,1,chr14,3228,21664143,Cell adhesion,chr14,2942
chrM:0x37DC,1,chr14,3248,21873257,Cell adhesion,chr14,2942
chrM:0x37DC,1,chr14,3248,21664144,Cell adhesion,chr14,2943
chrM:0x37DC,1,chr14,3228,21664144,Cell adhesion,chr14,2943
chrM:0x37DC,1,chr14,3228,1677521,Cell adhesion,chr14,2943
chrM:0x37DC,1,chr14,3248,1677521,Cell adhesion,chr14,2943
chrM:0x37DC,1,chr14,3228,21873259,Cell adhesion,chr14,2943
chrM:0x37DC,1,chr14,3248,21873259,Cell adhesion,chr14,2943
chrM:0x37DC,1,chr14,3248,22198362,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,21873260,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,22405292,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,21664145,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,22357969,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,22405292,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,21664145,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,21873260,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,22357969,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,22198362,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,1677522,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3228,22277480,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,22277480,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,1677522,Cell adhesion,chr14,2944
chrM:0x37DC,1,chr14,3248,22202089,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3248,1677523,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3228,22202089,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3228,21664146,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3248,21873262,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3228,1677523,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3248,21664146,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3228,21873262,Cell adhesion,chr14,2945
chrM:0x37DC,1,chr14,3228,591361,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3248,591361,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3248,21664147,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3248,1677524,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3248,21873264,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3228,21873264,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3228,1677524,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3228,21664147,Cell adhesion,chr14,2946
chrM:0x37DC,1,chr14,3228,591362,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3228,21873268,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3248,21873268,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3248,21510793,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3248,21664148,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3228,21510793,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3228,21664148,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3248,591362,Cell adhesion,chr14,2947
chrM:0x37DC,1,chr14,3248,22277481,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3248,21664149,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,22198364,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,21873270,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3248,1390859,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3248,21510794,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,21664149,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3248,22198364,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,1390859,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,22277481,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,21510794,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3248,21873270,Cell adhesion,chr14,2948
chrM:0x37DC,1,chr14,3228,21664150,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3228,21873271,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3248,21664150,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3228,21510795,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3228,1390860,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3248,1390860,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3248,21510795,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3248,21873271,Cell adhesion,chr14,2949
chrM:0x37DC,1,chr14,3228,21664151,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3228,1390861,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3228,21510796,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3248,1390861,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3248,21510796,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3248,21664151,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3248,21873273,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3228,21873273,Cell adhesion,chr14,2950
chrM:0x37DC,1,chr14,3248,21873276,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3248,21510797,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3228,21873276,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3228,1390862,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3248,7557,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3248,1390862,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3248,21664152,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3228,21664152,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3228,7557,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3228,21510797,Cell adhesion,chr14,2951
chrM:0x37DC,1,chr14,3228,21200909,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,22357972,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,22357972,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,21873279,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,22277484,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,7558,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,21200909,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,21664153,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,22198366,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,22405293,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,21510798,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,21510798,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,22198366,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,21664153,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,22277484,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,22405293,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,21873279,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3228,7558,Cell adhesion,chr14,2952
chrM:0x37DC,1,chr14,3248,21664154,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3228,7840,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3248,21873281,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3248,7840,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3228,21510799,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3228,21664154,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3228,21200911,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3248,21510799,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3228,21873281,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3248,21200911,Cell adhesion,chr14,2953
chrM:0x37DC,1,chr14,3248,21664155,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3248,21510800,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3228,21664155,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3228,21510800,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3228,21200913,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3228,7841,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3248,7841,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3248,21873283,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3248,21200913,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3228,21873283,Cell adhesion,chr14,2954
chrM:0x37DC,1,chr14,3228,7842,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3228,21664156,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3228,21510801,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3248,21200917,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3248,7842,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3248,21664156,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3248,21873286,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3228,21873286,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3228,21200917,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3248,21510801,Cell adhesion,chr14,2955
chrM:0x37DC,1,chr14,3248,21664157,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,21664157,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,7843,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,7843,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,22198369,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,21200918,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,22277486,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,21510802,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,21510802,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,22198369,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,22277486,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,21873288,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,21873288,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3228,21200918,Cell adhesion,chr14,2956
chrM:0x37DC,1,chr14,3248,21873290,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3248,21664158,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3228,21510803,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3248,20720845,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3248,21200919,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3228,20720845,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3248,21510803,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3228,21873290,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3228,21664158,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3228,21200919,Cell adhesion,chr14,2957
chrM:0x37DC,1,chr14,3228,21510804,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3228,21873291,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3248,21200922,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3248,20720846,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3228,21200922,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3248,21664159,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3248,21510804,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3228,21664159,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3228,20720846,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3248,21873291,Cell adhesion,chr14,2958
chrM:0x37DC,1,chr14,3228,20720847,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3228,21664160,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3248,21873293,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3248,21510805,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3248,20720847,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3248,21200925,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3228,21200925,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3228,21510805,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3228,21873293,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3248,21664160,Cell adhesion,chr14,2959
chrM:0x37DC,1,chr14,3228,22277467,Cell adhesion,chr14,4482
chrM:0x37DC,1,chr14,3248,22277467,Cell adhesion,chr14,4482
chrM:0x37DC,1,chr14,3228,22281216,Cell adhesion,chr14,4483
chrM:0x37DC,1,chr14,3248,22281216,Cell adhesion,chr14,4483
chrM:0x37DC,1,chr14,3228,22278173,Cell adhesion,chr14,4484
chrM:0x37DC,1,chr14,3248,22278173,Cell adhesion,chr14,4484
chrM:0x37DC,1,chr14,3228,22277468,Cell adhesion,chr14,4486
chrM:0x37DC,1,chr14,3248,22277468,Cell adhesion,chr14,4486
chrM:0x37DC,1,chr14,3228,22281218,Cell adhesion,chr14,4487
chrM:0x37DC,1,chr14,3248,22281218,Cell adhesion,chr14,4487
chrM:0x37DC,1,chr14,3228,22278175,Cell adhesion,chr14,4488
chrM:0x37DC,1,chr14,3248,22278175,Cell adhesion,chr14,4488
chrM:0x37DC,1,chr14,3228,22202078,Cell adhesion,chr14,4491
chrM:0x37DC,1,chr14,3248,22202078,Cell adhesion,chr14,4491
chrM:0x37DC,1,chr14,3228,22199106,Cell adhesion,chr14,4492
chrM:0x37DC,1,chr14,3248,22199106,Cell adhesion,chr14,4492
chrM:0x37DC,1,chr14,3248,22198352,Cell adhesion,chr14,4494
chrM:0x37DC,1,chr14,3228,22198352,Cell adhesion,chr14,4494
chrM:0x37DC,1,chr14,3248,22202080,Cell adhesion,chr14,4495
chrM:0x37DC,1,chr14,3228,22202080,Cell adhesion,chr14,4495
chrM:0x37DC,1,chr14,3228,22199113,Cell adhesion,chr14,4496
chrM:0x37DC,1,chr14,3248,22199113,Cell adhesion,chr14,4496
chrM:0x37DC,1,chr14,3248,22198354,Cell adhesion,chr14,4498
chrM:0x37DC,1,chr14,3228,22198354,Cell adhesion,chr14,4498
chrM:0x37DC,1,chr14,3228,2215842,Cell adhesion,chr14,4501
chrM:0x37DC,1,chr14,3248,2215842,Cell adhesion,chr14,4501
chrM:0x37DC,1,chr14,3228,2215843,Cell adhesion,chr14,4502
chrM:0x37DC,1,chr14,3248,2215843,Cell adhesion,chr14,4502
chrM:0x37DC,1,chr14,3228,2216644,Cell adhesion,chr14,4503
chrM:0x37DC,1,chr14,3248,2216644,Cell adhesion,chr14,4503
chrM:0x37DC,1,chr14,3228,2216645,Cell adhesion,chr14,4504
chrM:0x37DC,1,chr14,3248,2216645,Cell adhesion,chr14,4504
chrM:0x37DC,1,chr14,3228,2216646,Cell adhesion,chr14,4505
chrM:0x37DC,1,chr14,3248,2216646,Cell adhesion,chr14,4505
chrM:0x37DC,1,chr14,3248,1948794,Cell adhesion,chr14,4506
chrM:0x37DC,1,chr14,3248,2216647,Cell adhesion,chr14,4506
chrM:0x37DC,1,chr14,3228,2216647,Cell adhesion,chr14,4506
chrM:0x37DC,1,chr14,3228,1948794,Cell adhesion,chr14,4506
chrM:0x37DC,1,chr14,3248,1948795,Cell adhesion,chr14,4507
chrM:0x37DC,1,chr14,3228,1948795,Cell adhesion,chr14,4507
