gene,department
EGLN1,Transcription
EGLN3,DNA repair
EGLN3,Apoptosis
EGR1,Transcription
EGR2,Transcription
EGR3,Transcription
EGR4,Transcription
EHD2,Nuc acid bind
EHD3,Nuc acid bind
EHD4,Nuc acid bind
EHF,Transcription
EHMT1,Chromatin
EHMT1,Transcription
EHMT1,Methylation
EHMT2,Chromatin
EHMT2,Transcription
EHMT2,Methylation
EI24,Apoptosis
EID1,Transcription
EID2,Transcription
EID3,DNA repair
EIF1,Nuc acid bind
EIF1,Translation
EIF1AD,Nuc acid bind
EIF1AX,Nuc acid bind
EIF1AX,Translation
EIF1AY,Nuc acid bind
EIF1AY,Translation
EIF1B,Nuc acid bind
EIF1B,Translation
EIF2A,Translation
EIF2AK1,Kinase
EIF2AK2,Kinase
EIF2AK2,Nuc acid bind
EIF2AK2,Immune
EIF2AK3,Kinase
EIF2AK4,Kinase
EIF2AK4,Nuc acid bind
EIF2B1,Translation
EIF2B2,Translation
EIF2B3,Translation
EIF2B4,Translation
EIF2B5,Apoptosis
EIF2B5,Translation
EIF2D,Nuc acid bind
EIF2D,Translation
EIF2S1,Nuc acid bind
EIF2S1,Translation
EIF2S2,Nuc acid bind
EIF2S2,Translation
EIF2S3,Translation
EIF2S3,GTPase
EIF2S3B,Translation
EIF2S3B,GTPase
EIF3A,Nuc acid bind
EIF3A,Structural
EIF3A,Translation
EIF3B,Nuc acid bind
EIF3B,Translation
EIF3C,Nuc acid bind
EIF3C,Translation
EIF3CL,Nuc acid bind
EIF3CL,Translation
EIF3D,Nuc acid bind
EIF3D,Translation
EIF3E,Nuc acid bind
EIF3E,Translation
EIF3F,Proteolysis
EIF3F,Translation
EIF3G,Nuc acid bind
EIF3G,Translation
EIF3H,Nuc acid bind
EIF3H,Translation
EIF3I,Nuc acid bind
EIF3I,Translation
EIF3J,Translation
EIF3K,Nuc acid bind
EIF3K,Translation
EIF3L,Nuc acid bind
EIF3L,Translation
EIF3M,Translation
EIF4A1,Transcription
EIF4A1,Nuc acid bind
EIF4A1,Translation
EIF4A2,Nuc acid bind
EIF4A2,Translation
EIF4A3,RNA processing
EIF4A3,Nuc acid bind
EIF4B,Nuc acid bind
EIF4B,Translation
EIF4E,Nuc acid bind
EIF4E,Translation
EIF4E1B,Nuc acid bind
EIF4E1B,Translation
EIF4E2,Nuc acid bind
EIF4E2,Translation
EIF4E3,Nuc acid bind
EIF4E3,Translation
EIF4EBP2,Translation
EIF4ENIF1,Nuc acid bind
EIF4G1,Nuc acid bind
EIF4G1,Translation
EIF4G2,Nuc acid bind
EIF4G2,Translation
EIF4G3,Nuc acid bind
EIF4G3,Translation
EIF4H,Nuc acid bind
EIF4H,Translation
EIF5,Nuc acid bind
EIF5,Translation
EIF5A,Transcription
EIF5A,Nuc acid bind
EIF5A,Translation
EIF5A2,Nuc acid bind
EIF5A2,Translation
EIF5AL1,Nuc acid bind
EIF5AL1,Translation
EIF5B,Nuc acid bind
EIF5B,Translation
EIF5B,GTPase
EIF6,Translation
EIPR1,Ubiquitin
ELAC2,Nuc acid bind
ELANE,Transcription
ELANE,Proteolysis
ELAPOR1,Nuc acid bind
ELAVL1,Nuc acid bind
ELAVL2,Transcription
ELAVL2,Nuc acid bind
ELAVL3,Nuc acid bind
ELAVL4,RNA processing
ELAVL4,Nuc acid bind
ELF1,Transcription
ELF2,Transcription
ELF3,Transcription
ELF3,Immune
ELF4,Transcription
ELF5,Transcription
ELK1,Transcription
ELK3,Transcription
ELK3,Signaling
ELK4,Transcription
ELL3,Transcription
ELMO1,Apoptosis
ELMO2,Apoptosis
ELMO3,Apoptosis
ELN,Structural
ELOA,Transcription
ELOA2,Transcription
ELOB,Transcription
ELOB,Ubiquitin
ELOC,Transcription
ELOC,Ubiquitin
ELOF1,DNA repair
ELP2,Transcription
ELP3,Transcription
ELP3,Nuc acid bind
ELP4,Transcription
EMB,Cell adhesion
EMC4,Apoptosis
EME1,DNA repair
EME2,DNA repair
EMG1,RNA processing
EMG1,Nuc acid bind
EMG1,Methylation
EMILIN1,Structural
EMILIN1,Cell adhesion
EMILIN2,Apoptosis
EMILIN2,Cell adhesion
EML1,Cytoskeleton
EML2,Cytoskeleton
EML3,Cell cycle
EML3,Cytoskeleton
EML4,Cell cycle
EML4,Cytoskeleton
EMP1,Apoptosis
EMP2,Apoptosis
EMP2,Cell adhesion
EMP3,Apoptosis
EMSY,Chromatin
EMSY,Transcription
EMSY,DNA repair
EMX1,Transcription
EMX2,Transcription
EN1,Transcription
EN2,Transcription
ENC1,Ubiquitin
ENDOD1,Nuc acid bind
ENDOD1,Immune
ENDOG,DNA repair
ENDOG,Nuc acid bind
ENDOU,Signaling
ENDOU,Nuc acid bind
ENDOU,Transport
ENDOU,Proteolysis
ENDOU,Immune
ENDOV,DNA repair
ENDOV,Nuc acid bind
ENG,Transcription
ENG,Cell adhesion
ENGASE,Protein folding
ENHO,Signaling
ENO1,Transcription
ENO1,Nuc acid bind
ENOX1,Nuc acid bind
ENOX2,Nuc acid bind
ENPEP,Proteolysis
ENPP1,Nuc acid bind
ENPP1,Transport
ENPP1,Immune
ENPP2,Nuc acid bind
ENPP2,Transport
ENPP2,Immune
ENPP3,Nuc acid bind
ENSA,Cell cycle
ENTPD1,Cell adhesion
ENTPD1,GTPase
ENTPD2,GTPase
ENTPD3,GTPase
ENTPD4,GTPase
ENTPD7,GTPase
ENTR1,Cell cycle
ENY2,Chromatin
ENY2,Transcription
EOMES,Chromatin
EOMES,Transcription
EP300,Chromatin
EP300,Transcription
EP300,Apoptosis
EP400,Chromatin
EP400,DNA repair
EP400P1,Chromatin
EPAS1,Transcription
EPAS1,Signaling
EPB41,Cell cycle
EPB41,Structural
EPB41L1,Structural
EPB41L2,Cell cycle
EPB41L2,Structural
EPB41L3,Structural
EPB41L3,Apoptosis
EPB41L4B,Structural
EPB42,Structural
EPB42,Cytoskeleton
EPC1,Chromatin
EPC1,Transcription
EPC2,Chromatin
EPC2,Transcription
EPC2,DNA repair
EPCAM,Transcription
EPGN,Signaling
EPHA1,Kinase
EPHA1,Cell adhesion
EPHA10,Kinase
EPHA2,Kinase
EPHA2,Apoptosis
EPHA2,Cell adhesion
EPHA3,Kinase
EPHA3,Cell adhesion
EPHA4,Kinase
EPHA4,Cell adhesion
EPHA5,Kinase
EPHA6,Kinase
EPHA7,Kinase
EPHA7,Apoptosis
EPHA8,Kinase
EPHA8,Cell adhesion
EPHB1,Kinase
EPHB1,Cell adhesion
EPHB2,Kinase
EPHB3,Kinase
EPHB4,Kinase
EPHB4,Cell adhesion
EPHB6,Kinase
EPO,Transcription
EPO,Signaling
EPOP,Transcription
EPOR,Signaling
EPPK1,Nuc acid bind
EPPK1,Structural
EPRS1,Nuc acid bind
EPRS1,Translation
ERAL1,Nuc acid bind
ERAP1,Proteolysis
ERAP2,Proteolysis
ERAS,Signaling
ERAS,GTPase
ERBB2,Kinase
ERBB2,Signaling
ERBB3,Kinase
ERBB3,Signaling
ERBB4,Kinase
ERBB4,Signaling
ERBB4,Apoptosis
ERBIN,Signaling
ERBIN,Structural
ERBIN,Cytoskeleton
ERC1,Transcription
ERCC1,DNA repair
ERCC2,Transcription
ERCC2,DNA repair
ERCC2,Nuc acid bind
ERCC2,Apoptosis
ERCC3,DNA repair
ERCC3,Apoptosis
ERCC4,DNA repair
ERCC5,DNA repair
ERCC6,Chromatin
ERCC6,Transcription
ERCC6,DNA repair
ERCC6L,Cell cycle
ERCC6L,DNA repair
ERCC6L2,DNA repair
ERCC8,Ubiquitin
ERCC8,DNA repair
ERF,Transcription
ERFE,Signaling
ERFL,Transcription
ERG,Transcription
ERG,Kinase
ERG,Signaling
ERGIC1,Transport
ERGIC2,Transport
ERGIC3,Transport
ERH,Nuc acid bind
ERI1,Nuc acid bind
ERI2,Nuc acid bind
ERI3,Nuc acid bind
ERLEC1,Protein folding
ERMP1,Proteolysis
ERN1,Kinase
ERN1,RNA processing
ERN1,Apoptosis
ERN1,Protein folding
ERN2,Transcription
ERN2,Kinase
ERN2,RNA processing
ERN2,Apoptosis
ERN2,Protein folding
ERO1A,Apoptosis
ERO1A,Protein folding
ERO1B,Protein folding
ERP27,Protein folding
ERP29,Protein folding
ERP44,Protein folding
ERVK-10,Nuc acid bind
ERVK-11,Nuc acid bind
ERVK-16,Nuc acid bind
ERVK-18,Nuc acid bind
ERVK-19,Nuc acid bind
ERVK-21,Structural
ERVK-24,Nuc acid bind
ERVK-24,Structural
ERVK-25,Nuc acid bind
ERVK-5,Nuc acid bind
ERVK-5,Structural
ERVK-6,Nuc acid bind
ERVK-7,Nuc acid bind
ERVK-7,Structural
ERVK-8,Nuc acid bind
ERVK-9,Nuc acid bind
ERVK-9,Proteolysis
ERVK-9,Structural
ERVK13-1,Structural
ESAM,Cell adhesion
ESF1,Nuc acid bind
ESM1,Structural
ESPL1,Proteolysis
ESPL1,Apoptosis
ESR1,Chromatin
ESR1,Transcription
ESR1,Signaling
ESR2,Transcription
ESR2,Signaling
ESRP1,RNA processing
ESRP1,Nuc acid bind
ESRP2,RNA processing
ESRP2,Nuc acid bind
ESRRA,Transcription
ESRRB,Transcription
ESRRG,Transcription
ESS2,RNA processing
ESX1,Transcription
ETAA1,DNA repair
ETF1,Nuc acid bind
ETF1,Translation
ETFBKMT,Methylation
ETS1,Transcription
ETS1,Nuc acid bind
ETS1,Immune
ETS2,Transcription
ETV1,Transcription
ETV2,Transcription
ETV3,Transcription
ETV3L,Transcription
ETV4,Transcription
ETV5,Transcription
ETV6,Transcription
ETV7,Transcription
EVA1A,Apoptosis
EVI5,Cell cycle
EVL,Signaling
EVPL,Structural
EVX1,Transcription
EVX2,Transcription
EWSR1,Transcription
EWSR1,Nuc acid bind
EXD1,Nuc acid bind
EXD2,DNA repair
EXD2,Nuc acid bind
EXD3,Nuc acid bind
EXO1,DNA repair
EXO5,DNA repair
EXOG,Nuc acid bind
EXOSC1,RNA processing
EXOSC1,Nuc acid bind
EXOSC10,RNA processing
EXOSC10,DNA repair
EXOSC10,Nuc acid bind
EXOSC2,RNA processing
EXOSC2,Nuc acid bind
EXOSC3,RNA processing
EXOSC3,Nuc acid bind
EXOSC4,RNA processing
EXOSC4,Nuc acid bind
EXOSC5,RNA processing
EXOSC5,Nuc acid bind
EXOSC6,RNA processing
EXOSC6,Nuc acid bind
EXOSC7,RNA processing
EXOSC7,Nuc acid bind
EXOSC8,RNA processing
EXOSC8,Nuc acid bind
EXOSC9,Transcription
EXOSC9,RNA processing
EXOSC9,Nuc acid bind
EXOSC9,Immune
EYA1,Chromatin
EYA1,DNA repair
EYA1,Nuc acid bind
EYA1,Phosphatase
EYA2,Chromatin
EYA2,DNA repair
EYA2,Phosphatase
EYA3,Chromatin
EYA3,DNA repair
EYA3,Phosphatase
EYA4,Chromatin
EYA4,DNA repair
EYA4,Phosphatase
EYS,Structural
EZH1,Chromatin
EZH1,Transcription
EZH1,Methylation
EZH2,Chromatin
EZH2,Transcription
EZH2,Nuc acid bind
EZH2,Methylation
EZHIP,Chromatin
EZR,Transcription
EZR,Nuc acid bind
F10,Proteolysis
F11,Proteolysis
F11R,Immune
F11R,Cell adhesion
F12,Proteolysis
F12,Immune
F2,Signaling
F2,Proteolysis
F2R,Signaling
F2R,Immune
F2R,Apoptosis
F2RL1,Transcription
F2RL1,Signaling
F2RL1,Immune
F2RL2,Signaling
F2RL3,Signaling
F7,Proteolysis
F9,Proteolysis
FAAP100,DNA repair
FAAP20,DNA repair
FAAP24,DNA repair
FADD,Transcription
FADD,Signaling
FADD,Immune
FADD,Apoptosis
FADS1,Transcription
FAF1,Apoptosis
FAIM,Apoptosis
FAIM2,Apoptosis
FAM111A,DNA repair
FAM111A,Proteolysis
FAM111B,Proteolysis
FAM120A,Nuc acid bind
FAM120C,Nuc acid bind
FAM133B,Nuc acid bind
FAM13A,Signaling
FAM13B,Signaling
FAM162A,Apoptosis
FAM20C,Kinase
FAM32A,Nuc acid bind
FAM32A,Apoptosis
FAM3A,Signaling
FAM3B,Signaling
FAM3B,Apoptosis
FAM3C,Signaling
FAM3D,Signaling
FAM47E,Chromatin
FAM50A,Chromatin
FAM50A,RNA processing
FAM50A,Nuc acid bind
FAM50B,Chromatin
FAM76B,Nuc acid bind
FAM83B,Signaling
FAM83C,Signaling
FAM83D,Cell cycle
FAM83D,Signaling
FAM83E,Signaling
FAM83F,Signaling
FAM83H,Signaling
FAM86B1,Methylation
FAM86B2,Methylation
FAM86C1P,Methylation
FAM86C2P,Methylation
FAM98A,Nuc acid bind
FAM98B,Nuc acid bind
FAN1,DNA repair
FAN1,Nuc acid bind
FANCA,DNA repair
FANCB,DNA repair
FANCC,DNA repair
FANCD2,DNA repair
FANCE,DNA repair
FANCF,DNA repair
FANCG,DNA repair
FANCI,DNA repair
FANCL,Ubiquitin
FANCL,DNA repair
FANCM,DNA repair
FANCM,Nuc acid bind
FANK1,Apoptosis
FAP,Proteolysis
FAP,Apoptosis
FAP,Cell adhesion
FARP2,Signaling
FARP2,Cell adhesion
FARS2,Translation
FARSA,Nuc acid bind
FARSA,Translation
FARSB,Nuc acid bind
FARSB,Translation
FAS,Signaling
FAS,Immune
FAS,Apoptosis
FASLG,Transcription
FASLG,Signaling
FASLG,Immune
FASLG,Apoptosis
FASN,Nuc acid bind
FASTK,Kinase
FASTK,Nuc acid bind
FASTK,Apoptosis
FASTKD1,Nuc acid bind
FASTKD2,RNA processing
FASTKD2,Nuc acid bind
FASTKD2,Apoptosis
FASTKD3,Nuc acid bind
FASTKD5,RNA processing
FASTKD5,Nuc acid bind
FAT1,Cell adhesion
FAT2,Cell adhesion
FAT3,Cell adhesion
FAT4,Cell adhesion
FATE1,Apoptosis
FAU,Ubiquitin
FAU,Nuc acid bind
FAU,Translation
FBH1,Ubiquitin
FBH1,DNA repair
FBL,Chromatin
FBL,Nuc acid bind
FBL,Methylation
FBLIM1,Cell adhesion
FBLL1,Chromatin
FBLL1,Nuc acid bind
FBLL1,Methylation
FBLN1,Structural
FBLN2,Structural
FBLN5,Transcription
FBLN5,Cell adhesion
FBLN7,Cell adhesion
FBN1,Signaling
FBN1,Structural
FBN2,Signaling
FBN2,Structural
FBN3,Signaling
FBN3,Structural
FBP1,Transcription
FBRSL1,Nuc acid bind
FBXL12,Ubiquitin
FBXL14,Transcription
FBXL15,Ubiquitin
FBXL17,Ubiquitin
FBXL19,Chromatin
FBXL19,Transcription
FBXL2,Ubiquitin
FBXL2,Proteolysis
FBXL21P,Ubiquitin
FBXL22,Ubiquitin
FBXL3,Ubiquitin
FBXL5,Ubiquitin
FBXL6,Proteolysis
FBXL7,Cell cycle
FBXL7,Ubiquitin
FBXO10,Ubiquitin
FBXO10,Apoptosis
FBXO11,Ubiquitin
FBXO2,Ubiquitin
FBXO2,Proteolysis
FBXO22,Ubiquitin
FBXO24,Ubiquitin
FBXO25,Ubiquitin
FBXO28,Ubiquitin
FBXO3,Ubiquitin
FBXO3,Proteolysis
FBXO30,Ubiquitin
FBXO31,Ubiquitin
FBXO31,DNA repair
FBXO32,Ubiquitin
FBXO33,Ubiquitin
FBXO38,Ubiquitin
FBXO4,Ubiquitin
FBXO43,Ubiquitin
FBXO45,Ubiquitin
FBXO45,DNA repair
FBXO5,Cell cycle
FBXO5,Ubiquitin
FBXO5,DNA repair
FBXO6,Ubiquitin
FBXO6,DNA repair
FBXO6,Proteolysis
FBXO7,Ubiquitin
FBXO8,Transport
FBXO9,Ubiquitin
FBXW11,Ubiquitin
FBXW11,Phosphatase
FBXW12,Ubiquitin
FBXW2,Proteolysis
FBXW5,Ubiquitin
FBXW7,Ubiquitin
FBXW7,DNA repair
FBXW8,Ubiquitin
FCAMR,Signaling
FCAR,Immune
FCER1A,Signaling
FCER1G,Signaling
FCER1G,Immune
FCER2,Immune
FCF1,Nuc acid bind
FCGBP,Structural
FCGR1A,Signaling
FCGR1A,Immune
FCGR1BP,Signaling
FCGR1BP,Immune
FCGR2A,Signaling
FCGR2B,Signaling
FCGR2B,Immune
FCGR2C,Signaling
FCGR2C,Immune
FCGR3A,Signaling
FCGR3A,Immune
FCGR3B,Signaling
FCGR3B,Immune
FCGRT,Immune
FCMR,Signaling
FCN1,Proteolysis
FCN1,Immune
FCN2,Proteolysis
FCN2,Immune
FCN3,Proteolysis
FCN3,Immune
FCRL1,Signaling
FCRL1,Immune
FCRL2,Signaling
FCRL2,Immune
FCRL3,Signaling
FCRL3,Immune
FCRL4,Signaling
FCRL4,Immune
FCRL5,Signaling
FCRL5,Immune
FCRL6,Signaling
FCRL6,Immune
FCRLA,Signaling
FCRLA,Immune
FCRLB,Signaling
FDPS,Nuc acid bind
FEM1A,Ubiquitin
FEM1B,Ubiquitin
FEM1B,Apoptosis
FEM1C,Ubiquitin
FEN1,DNA repair
FER,Kinase
FER,Signaling
FER,Cell adhesion
FER,Cytoskeleton
FERD3L,Transcription
FERMT1,Cell adhesion
FERMT2,Cell adhesion
FERMT3,Cell adhesion
FES,Kinase
FES,Cell adhesion
FEV,Transcription
FEZ1,Cell adhesion
FEZ2,Signaling
FEZF1,Transcription
FEZF2,Transcription
FFAR1,Signaling
FFAR2,Signaling
FFAR2,Immune
FFAR3,Signaling
FFAR3,Immune
FFAR4,Signaling
FFAR4,Immune
FGA,Immune
FGA,Structural
FGB,Immune
FGB,Structural
FGD1,Signaling
FGD1,Cytoskeleton
FGD2,Cytoskeleton
FGD3,Cytoskeleton
FGD4,Cytoskeleton
FGD5,Cytoskeleton
FGD6,Cytoskeleton
FGF1,Transcription
FGF1,Signaling
FGF11,Signaling
FGF12,Signaling
FGF13,Signaling
FGF14,Signaling
FGF16,Signaling
FGF17,Signaling
FGF18,Signaling
FGF2,Chromatin
FGF2,Transcription
FGF2,Signaling
FGF20,Signaling
FGF21,Signaling
FGF3,Signaling
FGF4,Signaling
FGF5,Signaling
FGF7,Signaling
FGF9,Signaling
FGFBP1,Signaling
FGFR1,Transcription
FGFR1,Kinase
FGFR2,Transcription
FGFR2,Kinase
FGFR2,Apoptosis
FGFR3,Kinase
FGFR3,Apoptosis
FGFR4,Kinase
FGG,Structural
FGL1,Signaling
FGL2,Structural
FGR,Kinase
FGR,Immune
FH,DNA repair
FHIT,Apoptosis
FHL2,Transcription
FHL5,Transcription
FHOD1,Transcription
FIGLA,Transcription
FIGN,Cell cycle
FIP1L1,RNA processing
FIP1L1,Nuc acid bind
FIS1,Apoptosis
FIZ1,Transcription
FKBP10,Protein folding
FKBP1A,Protein folding
FKBP1B,Protein folding
FKBP1C,Protein folding
FKBP3,Nuc acid bind
FKBP4,Nuc acid bind
FKBP4,Protein folding
FKBP5,Protein folding
FKBP6,Protein folding
FKBP8,Signaling
FKBP8,Apoptosis
FKBP8,Protein folding
FKBP9,Protein folding
FKSG35,Signaling
FLCN,Transcription
FLCN,Signaling
FLCN,Apoptosis
FLG,Structural
FLG2,Structural
FLG2,Cell adhesion
FLI1,Transcription
FLNA,Nuc acid bind
FLNB,Signaling
FLNB,Nuc acid bind
FLOT1,Signaling
FLOT2,Cell adhesion
FLRT1,Cell adhesion
FLRT2,Cell adhesion
FLRT3,Cell adhesion
FLT1,Kinase
FLT3,Kinase
FLT3,Signaling
FLT3LG,Signaling
FLT4,Kinase
FLVCR1,Transport
FLVCR2,Transport
FLYWCH1,Transcription
FLYWCH1,DNA repair
FLYWCH2,Nuc acid bind
FMN2,Signaling
FMN2,DNA repair
FMN2,Transport
FMNL1,Cytoskeleton
FMNL2,Cytoskeleton
FMNL3,Cytoskeleton
FMR1,Chromatin
FMR1,RNA processing
FMR1,DNA repair
FMR1,Nuc acid bind
FN1,Structural
FN1,Cell adhesion
FNBP1,Signaling
FNBP1L,Signaling
FNDC3A,Nuc acid bind
FNDC3B,Nuc acid bind
FNDC5,Signaling
FNIP1,Transcription
FNIP2,Transcription
FNIP2,DNA repair
FOLH1,Proteolysis
FOLH1B,Proteolysis
FOLR1,Cell adhesion
FOLR2,Immune
FOLR2,Cell adhesion
FOLR3,Cell adhesion
FOS,Transcription
FOS,Immune
FOSB,Transcription
FOSL1,Transcription
FOSL2,Transcription
FOXA1,Chromatin
FOXA1,Transcription
FOXA1,Apoptosis
FOXA2,Chromatin
FOXA2,Transcription
FOXA2,Nuc acid bind
FOXA3,Chromatin
FOXA3,Transcription
FOXB1,Transcription
FOXB2,Transcription
FOXC1,Transcription
FOXC2,Transcription
FOXD1,Transcription
FOXD2,Transcription
FOXD3,Transcription
FOXD4,Transcription
FOXD4L1,Transcription
FOXD4L3,Transcription
FOXD4L4,Transcription
FOXD4L5,Transcription
FOXD4L6,Transcription
FOXE1,Transcription
FOXE3,Transcription
FOXF1,Transcription
FOXF2,Transcription
FOXG1,Transcription
FOXH1,Transcription
FOXI1,Transcription
FOXI2,Transcription
FOXI3,Transcription
FOXJ1,Transcription
FOXJ2,Transcription
FOXJ3,Transcription
FOXK1,Transcription
FOXK2,Transcription
FOXL1,Transcription
FOXL2,Transcription
FOXL2,Apoptosis
FOXL3,Transcription
FOXM1,Transcription
FOXM1,DNA repair
FOXN1,Transcription
FOXN2,Transcription
FOXN3,Transcription
FOXN4,Transcription
FOXO1,Transcription
FOXO1,DNA repair
FOXO1,Nuc acid bind
FOXO1,Apoptosis
FOXO3,Transcription
FOXO3,Apoptosis
FOXO3B,Transcription
FOXO4,Transcription
FOXO4,Nuc acid bind
FOXO6,Transcription
FOXP1,Transcription
FOXP1,DNA repair
FOXP2,Transcription
FOXP3,Chromatin
FOXP3,Transcription
FOXP4,Transcription
FOXQ1,Transcription
FOXR1,Transcription
FOXR2,Transcription
FOXS1,Transcription
FPR1,Signaling
FPR1,Immune
FPR2,Signaling
FPR2,Immune
FPR2,Cell adhesion
FPR3,Signaling
FPR3,Immune
FRAS1,Structural
FREM1,Cell adhesion
FREM2,Cell adhesion
FREM3,Cell adhesion
FRG1,RNA processing
FRG1,Nuc acid bind
FRK,Transcription
FRK,Kinase
FRS3,Signaling
FRZB,Apoptosis
FSAF1,Nuc acid bind
FSCN1,Nuc acid bind
FSD1,Cell cycle
FSHB,Transcription
FSHB,Signaling
FSHR,Signaling
FST,Transcription
FSTL3,Transcription
FTCD,Cytoskeleton
FTH1,Immune
FTSJ1,Methylation
FTSJ3,Nuc acid bind
FTSJ3,Methylation
FUBP1,Transcription
FUBP1,Nuc acid bind
FUBP3,Transcription
FUBP3,Nuc acid bind
FURIN,Proteolysis
FUS,Transcription
FUS,RNA processing
FUS,Nuc acid bind
FUT4,Immune
FUT7,Immune
FUZ,Transport
FXN,Ion channel
FXR1,Nuc acid bind
FXR1,Apoptosis
FXR2,Nuc acid bind
FXYD1,Ion channel
FXYD2,Transport
FXYD2,Ion channel
FXYD3,Ion channel
FXYD4,Ion channel
FXYD5,Ion channel
FXYD6,Ion channel
FXYD6P3,Ion channel
FXYD7,Ion channel
FYB1,Immune
FYN,Kinase
FYN,Signaling
FYN,Ion channel
FYTTD1,Nuc acid bind
FZD1,Transcription
FZD1,Signaling
FZD10,Signaling
FZD2,Signaling
FZD3,Signaling
FZD4,Transcription
FZD4,Signaling
FZD5,Transcription
FZD5,Signaling
FZD6,Transcription
FZD6,Signaling
FZD7,Transcription
FZD7,Signaling
FZD8,Signaling
FZD9,Signaling
FZD9,Apoptosis
FZR1,Cell cycle
FZR1,Ubiquitin
FZR1,DNA repair
G0S2,Apoptosis
G2E3,Ubiquitin
G2E3,Apoptosis
G3BP1,Nuc acid bind
G3BP1,Immune
G3BP2,Nuc acid bind
G3BP2,Immune
GAB1,Signaling
GAB2,Signaling
GAB3,Signaling
GAB4,Signaling
GABARAP,Apoptosis
GABBR1,Signaling
GABBR2,Signaling
GABPA,Transcription
GABPB1,Transcription
GABPB2,Transcription
GABRA1,Ion channel
GABRA2,Ion channel
GABRA3,Ion channel
GABRA4,Ion channel
GABRA5,Signaling
GABRA5,Ion channel
GABRA6,Signaling
GABRA6,Ion channel
GABRB1,Signaling
GABRB1,Ion channel
GABRB2,Ion channel
GABRB3,Signaling
GABRB3,Ion channel
GABRD,Signaling
GABRD,Ion channel
GABRE,Ion channel
GABRG1,Ion channel
GABRG2,Ion channel
GABRG3,Ion channel
GABRP,Ion channel
GABRQ,Signaling
GABRQ,Ion channel
GABRR1,Ion channel
GABRR2,Signaling
GABRR2,Ion channel
GABRR3,Ion channel
GADD45A,Transcription
GADD45A,DNA repair
GADD45A,Apoptosis
GADD45B,Apoptosis
GADD45G,Apoptosis
GADD45GIP1,Translation
GAK,Kinase
GAK,Protein folding
GAL,Transcription
GAL,Signaling
GAL,Apoptosis
GALR1,Transcription
GALR1,Signaling
GALR2,Transcription
GALR2,Signaling
GALR3,Transcription
GALR3,Signaling
GAMT,Methylation
GAN,Ubiquitin
GAN,Cytoskeleton
GANAB,Nuc acid bind
GAPDH,Immune
GAPDH,Apoptosis
GAPDH,Cytoskeleton
GAPVD1,Transport
GAR1,Nuc acid bind
GARIN5A,Immune
GARS1,Translation
GAS2,Apoptosis
GAS2L3,Cytoskeleton
GAS6,Kinase
GAS6,Signaling
GAST,Signaling
GATA1,Transcription
GATA2,Transcription
GATA3,Transcription
GATA3,Signaling
GATA3,Immune
GATA4,Transcription
GATA5,Transcription
GATA6,Transcription
GATAD1,Chromatin
GATAD1,Transcription
GATAD2A,Chromatin
GATAD2A,Transcription
GATAD2B,Chromatin
GATAD2B,Transcription
GATB,Translation
GATC,Translation
GBP1,Immune
GBP1,GTPase
GBP2,Immune
GBP2,GTPase
GBP3,Immune
GBP3,GTPase
GBP4,Immune
GBP4,GTPase
GBP5,Immune
GBP5,GTPase
GBP6,Immune
GBP6,GTPase
GBP7,Immune
GBP7,GTPase
GBX1,Transcription
GBX2,Transcription
GCFC2,RNA processing
GCGR,Signaling
GCH1,GTPase
GCM1,Transcription
GCM2,Transcription
GCN1,Nuc acid bind
GCNA,DNA repair
GDF15,Signaling
GDF2,Transcription
GDF6,Apoptosis
GDI1,Signaling
GDI1,Transport
GDI1,GTPase
GDI2,Signaling
GDI2,Nuc acid bind
GDI2,Transport
GDI2,GTPase
GDNF,Transcription
GDNF,Signaling
GEM,Signaling
GEM,Immune
GEM,GTPase
GEMIN2,RNA processing
GEMIN4,RNA processing
GEMIN5,RNA processing
GEMIN5,Nuc acid bind
GEMIN5,Translation
GEMIN6,RNA processing
GEMIN6,Nuc acid bind
GEMIN7,RNA processing
GEMIN7,Nuc acid bind
GEMIN8,RNA processing
GEN1,DNA repair
GFAP,Structural
GFER,Signaling
GFI1,Transcription
GFI1,DNA repair
GFI1B,Chromatin
GFI1B,Transcription
GFM1,Nuc acid bind
GFM1,Translation
GFM1,GTPase
GFM2,Translation
GFM2,GTPase
GFRA1,Signaling
GFRA3,Signaling
GGA1,Transport
GGA2,Transport
GGA3,Transport
GGT1,Proteolysis
GGT3P,Proteolysis
GGT5,Proteolysis
GGT5,Immune
GHITM,Apoptosis
GHITM,Ion channel
GHRHR,Signaling
GHSR,Signaling
GIGYF2,Nuc acid bind
GIMAP1,GTPase
GIMAP2,GTPase
GIMAP4,GTPase
GIMAP5,GTPase
GIMAP6,GTPase
GIMAP7,GTPase
GIMAP8,GTPase
GIMD1,GTPase
GIN1,Nuc acid bind
GIP,Signaling
GIPR,Signaling
GJA1,Signaling
GJA1,Immune
GJA10,Transport
GJA3,Transport
GJA4,Transport
GJA5,Transport
GJA8,Transport
GJA9,Transport
GJB1,Transport
GJB2,Transport
GJB3,Transport
GJB4,Transport
GJB5,Transport
GJB6,Transport
GJB7,Transport
GJC1,Transport
GJC1,Immune
GJC1,Ion channel
GJC2,Transport
GJC3,Transport
GJD2,Transport
GJD3,Transport
GJD3,Ion channel
GJD4,Transport
GJE1,Transport
GKAP1,Signaling
GKN1,Signaling
GLDN,Signaling
GLI1,Transcription
