gene,chromosome,gene_start,gene_end,strand,gene_length_bp,upstream_bp,total_region_bp,ensembl_id
EGFR,chr7,55018820,55211628,+,192809,5000,197809,ENSG00000146648
EIF2AK2,chr2,37099210,37157688,-,58479,5000,63479,ENSG00000055332
EIF4E,chr4,98878761,98929150,-,50390,5000,55390,ENSG00000151247
EZH2,chr7,148807257,148884330,-,77074,5000,82074,ENSG00000106462
FLNA,chrX,154348524,154374638,-,26115,5000,31115,ENSG00000196924
FOXP2,chr7,114086317,114693772,+,607456,5000,612456,ENSG00000128573
HDAC1,chr1,32291921,32333635,+,41715,5000,46715,ENSG00000116478
HNRNPA1,chr12,54280193,54287088,+,6896,5000,11896,ENSG00000135486
IFNG,chr12,68154768,68159740,-,4973,5000,9973,ENSG00000111537
IL6,chr7,22725884,22732002,+,6119,5000,11119,ENSG00000136244
IRF1,chr5,132440440,132508719,-,68280,5000,73280,ENSG00000125347
ITGB1,chr10,32887273,33005792,-,118520,5000,123520,ENSG00000150093
JAK2,chr9,4984390,5129948,+,145559,5000,150559,ENSG00000096968
JUN,chr1,58776845,58784048,-,7204,5000,12204,ENSG00000177606
KCNQ1,chr11,2444654,2849105,+,404452,5000,409452,ENSG00000053918
KDM5B,chr1,202724495,202808487,-,83993,5000,88993,ENSG00000117139
KIF5B,chr10,32009014,32056454,-,47441,5000,52441,ENSG00000170759
KLF4,chr9,107484852,107490482,-,5631,5000,10631,ENSG00000136826
KRAS,chr12,25205246,25250936,-,45691,5000,50691,ENSG00000133703
KRT18,chr12,52945688,52952911,+,7224,5000,12224,ENSG00000111057
LMNA,chr1,156082572,156140081,+,57510,5000,62510,ENSG00000160789
MDM2,chr12,68808175,68845544,+,37370,5000,42370,ENSG00000135679
METTL3,chr14,21498128,21511362,-,13235,5000,18235,ENSG00000165819
MLH1,chr3,36993226,37050896,+,57671,5000,62671,ENSG00000076242
MMP9,chr20,46008908,46016561,+,7654,5000,12654,ENSG00000100985
MTOR,chr1,11106531,11262556,-,156026,5000,161026,ENSG00000198793
MYC,chr8,127735434,127742951,+,7518,5000,12518,ENSG00000136997
MYH9,chr22,36281279,36388010,-,106732,5000,111732,ENSG00000100345
NEDD4,chr15,55826917,55993660,-,166744,5000,171744,ENSG00000069869
NOTCH1,chr9,136494433,136546048,-,51616,5000,56616,ENSG00000148400
NSD1,chr5,177131787,177300213,+,168427,5000,173427,ENSG00000165671
PECAM1,chr17,64319415,64413776,-,94362,5000,99362,ENSG00000261371
PIK3CA,chr3,179148114,179240093,+,91980,5000,96980,ENSG00000121879
PLK1,chr16,23677656,23690367,+,12712,5000,17712,ENSG00000166851
PPP2CA,chr5,134193978,134226083,-,32106,5000,37106,ENSG00000113575
PRMT1,chr19,49675786,49689029,+,13244,5000,18244,ENSG00000126457
PRPF8,chr17,1650624,1684876,-,34253,5000,39253,ENSG00000174231
PTEN,chr10,87862638,87971930,+,109293,5000,114293,ENSG00000171862
PTPN11,chr12,112418351,112509918,+,91568,5000,96568,ENSG00000179295
PTPRC,chr1,198629900,198759346,+,129447,5000,134447,ENSG00000081237
RAB7A,chr3,128693669,128825942,+,132274,5000,137274,ENSG00000075785
RAC1,chr7,6374098,6403998,+,29901,5000,34901,ENSG00000136238
RAD51,chr15,40694774,40732344,+,37571,5000,42571,ENSG00000051180
RB1,chr13,48303735,48599436,+,295702,5000,300702,ENSG00000139687
RHOA,chr3,49359136,49412998,-,53863,5000,58863,ENSG00000067560
RNF2,chr1,185044865,185102603,+,57739,5000,62739,ENSG00000121481
RPS6,chr9,19375715,19380282,-,4568,5000,9568,ENSG00000137154
SCN5A,chr3,38548057,38649743,-,101687,5000,106687,ENSG00000183873
SETD2,chr3,47016428,47164113,-,147686,5000,152686,ENSG00000181555
SF3B1,chr2,197388515,197435079,-,46565,5000,51565,ENSG00000115524
SLC12A2,chr5,128083714,128189677,+,105964,5000,110964,ENSG00000064651
SLC2A1,chr1,42925353,42958893,-,33541,5000,38541,ENSG00000117394
SLC6A3,chr5,1392794,1445514,-,52721,5000,57721,ENSG00000142319
SMARCA4,chr19,10960824,11079426,+,118603,5000,123603,ENSG00000127616
SRC,chr20,37344673,37406050,+,61378,5000,66378,ENSG00000197122
SRSF1,chr17,58000919,58007346,-,6428,5000,11428,ENSG00000136450
TLR4,chr9,117704175,117724735,+,20561,5000,25561,ENSG00000136869
TNF,chr6,31575565,31578336,+,2772,5000,7772,ENSG00000232810
TRIM28,chr19,58543740,58550773,+,7034,5000,12034,ENSG00000130726
TRPV1,chr17,3565444,3609411,-,43968,5000,48968,ENSG00000196689
TUBB,chr6,30717435,30725538,+,8104,5000,13104,ENSG00000196230
UBE2I,chr16,1291357,1327018,+,35662,5000,40662,ENSG00000103275
USP7,chr16,8892097,8975328,-,83232,5000,88232,ENSG00000187555
VCAM1,chr1,100719684,100739045,+,19362,5000,24362,ENSG00000162692
VIM,chr10,17228241,17237593,+,9353,5000,14353,ENSG00000026025
WNT3A,chr1,228006924,228061271,+,54348,5000,59348,ENSG00000154342
XIAP,chrX,123859693,123913972,+,54280,5000,59280,ENSG00000101966
XRCC1,chr19,43543306,43580473,-,37168,5000,42168,ENSG00000073050
