position,hex,word,department,enrichment,length
9171,"0x72CB","0x72CB","Chromatin",7.2,2
9177,"0xCB2F","0xCB2F","Chromatin",18.9,2
9314,"0x159D","0x159D","Cytoskeleton",5.2,2
9420,"0xCBDF","0xCBDF","Structural",6.1,2
9474,"0x94D8","0x94D8","Cell adhesion",5,2
9478,"0x05D5","0x05D5","Unclassified",5.1,2
9489,"0x9B6D","0x9B6D","Chromatin",6.7,2
9541,"0xA18A","0xA18A","Cell cycle",5.3,2
9608,"0x4415","0x4415","Unclassified",5.7,2
9661,"0x3628","0x3628","Phosphatase",5.6,2
9719,"0x881C","0x881C","Protein folding",6.5,2
9725,"0x68AD","0x68AD","Structural",6,2
9763,"0xCA21","0xCA21","Unclassified",11,2
9798,"0x8A28","0x8A28","Chromatin",18.3,2
9875,"0x75D6","0x75D6","RNA processing",6.9,2
9943,"0x1410","0x1410","Transcription",8.4,2
10073,"0x575D","0x575D","Cytoskeleton",5,2
10091,"0x0417","0x0417","Unclassified",6.7,2
10221,"0x7653","0x7653","Ion channel",7,2
10236,"0x159D","0x159D","Cytoskeleton",5.2,2
10282,"0xF5D9","0xF5D9","Transcription",7.2,2
10367,"0x856C","0x856C","Unclassified",5.6,2
10370,"0x7618","0x7618","DNA repair",7.7,2
10389,"0x5451","0x5451","Unclassified",8,2
10435,"0xBDF4","0xBDF4","Chromatin",6.6,2
10442,"0xDCBD","0xDCBD","Chromatin",10,2
10494,"0x96596596","0x96596596","Unclassified",71281.2,4
10519,"0x096F","0x096F","Structural",6.7,2
10562,"0x2F5189","0x2F5189","Transcription",3788.8,3
10612,"0x7725","0x7725","Structural",6.1,2
10624,"0x356A","0x356A","Unclassified",7.8,2
10742,"0xB72A","0xB72A","Unclassified",8.5,2
10780,"0x7568","0x7568","Cytoskeleton",9,2
10815,"0x0960","0x0960","Cell cycle",18.6,2
10828,"0x2CB2","0x2CB2","Chromatin",23.2,2
10881,"0x8829","0x8829","Cell cycle",10.8,2
10918,"0xF7D5","0xF7D5","Chromatin",5,2
11005,"0xF6DF","0xF6DF","Chromatin",8.5,2
11074,"0xB2CB","0xB2CB","Chromatin",43.9,2
11186,"0x7428","0x7428","Cytoskeleton",6.1,2
11228,"0xDA5D","0xDA5D","Cytoskeleton",5.1,2
11237,"0x0810","0x0810","Chromatin",7.8,2
11377,"0x8818","0x8818","Unclassified",7.3,2
11439,"0x68AD","0x68AD","Structural",6,2
11482,"0x05D3","0x05D3","Nuc acid bind",8.6,2
11510,"0xB568","0xB568","Cell cycle",11.8,2
11536,"0xF65F","0xF65F","Unclassified",17.8,2
11577,"0x8568","0x8568","Structural",10.4,2
11579,"0x89D8","0x89D8","Chromatin",6.8,2
11603,"0x77DC","0x77DC","Chromatin",5.4,2
11613,"0x37DB","0x37DB","Chromatin",10.1,2
11667,"0xA7DC","0xA7DC","Phosphatase",7.1,2
11716,"0xA4DA","0xA4DA","Unclassified",5.3,2
11732,"0xC5DC","0xC5DC","Ion channel",9.2,2
11895,"0xF42F","0xF42F","Chromatin",29.2,2
11996,"0x881C","0x881C","Protein folding",6.5,2
12003,"0x60A1","0x60A1","DNA repair",5.5,2
12056,"0x9882","0x9882","Transcription",5.9,2
12098,"0x37DB","0x37DB","Chromatin",10.1,2
12103,"0x0821","0x0821","DNA repair",13.3,2
12164,"0x0A20","0x0A20","Cell cycle",12.4,2
12167,"0x87D5","0x87D5","Unclassified",6.5,2
12210,"0x1041","0x1041","Ubiquitin",7.6,2
12222,"0x0450","0x0450","Cell cycle",15.1,2
12359,"0x75DF","0x75DF","Chromatin",5.7,2
12417,"0x0825","0x0825","Chromatin",11.6,2
12498,"0x820A","0x820A","Chromatin",5,2
12521,"0x34D1","0x34D1","Unclassified",6.9,2
12582,"0x0417","0x0417","Unclassified",6.7,2
12589,"0x37DF","0x37DF","Cytoskeleton",9.5,2
12678,"0x5828","0x5828","Cell cycle",5.6,2
12709,"0x34D1","0x34D1","Unclassified",6.9,2
12855,"0x07D0","0x07D0","Unclassified",11.3,2
13215,"0xD5A9","0xD5A9","Kinase",7.2,2
13234,"0x75D3","0x75D3","Transcription",8.6,2
13252,"0xF7D0","0xF7D0","Chromatin",5.2,2
13332,"0xF59C","0xF59C","Structural",5.5,2
13358,"0x35D9","0x35D9","Unclassified",6.3,2
13368,"0x8650","0x8650","Cell adhesion",6.7,2
13394,"0x1141","0x1141","Phosphatase",6.2,2
13397,"0x7DF7","0x7DF7","RNA processing",11.2,2
13400,"0x7423","0x7423","DNA repair",11.2,2
13456,"0xC815","0xC815","Cytoskeleton",5.5,2
13472,"0xADB5","0xADB5","Cytoskeleton",5.7,2
13536,"0xBDCB","0xBDCB","Chromatin",5.9,2
13554,"0x4114","0x4114","Chromatin",5.2,2
13636,"0x0A20","0x0A20","Cell cycle",12.4,2
13656,"0x7653","0x7653","Ion channel",7,2
13667,"0x7420","0x7420","DNA repair",8,2
13699,"0x0850","0x0850","Cell cycle",11.9,2
13818,"0x25B2","0x25B2","Cytoskeleton",10.1,2
13826,"0x72CB","0x72CB","Chromatin",7.2,2
13902,"0x07D0","0x07D0","Unclassified",11.3,2
13914,"0x1F62","0x1F62","Chromatin",5.6,2
13959,"0x85D8","0x85D8","Chromatin",6.8,2
13977,"0x6C82","0x6C82","Structural",6.3,2
14001,"0x1450","0x1450","Unclassified",9.1,2
14116,"0x1369","0x1369","Transcription",5.3,2
14254,"0x3410","0x3410","Nuc acid bind",8.4,2
14266,"0x4105","0x4105","Cell adhesion",5.5,2
14333,"0xC560","0xC560","Transcription",16.6,2
14339,"0x5081","0x5081","Nuc acid bind",7.8,2
14342,"0xD75D","0xD75D","Cytoskeleton",5.5,2
14415,"0x0560","0x0560","Kinase",13.8,2
14447,"0x3410","0x3410","Nuc acid bind",8.4,2
14508,"0x0A20","0x0A20","Cell cycle",12.4,2
14545,"0x36D3","0x36D3","Cell adhesion",5.1,2
14592,"0x07D0","0x07D0","Unclassified",11.3,2
14603,"0x0968","0x0968","Cell cycle",16.7,2
14607,"0x0811","0x0811","Unclassified",9.2,2
14691,"0xF5DF","0xF5DF","Cytoskeleton",11.9,2
14699,"0xA69A","0xA69A","RNA processing",39.5,2
14799,"0x965965","0x965965","Cell adhesion",233.7,3
14883,"0xA427","0xA427","Transcription",8,2
14890,"0x259D","0x259D","Methylation",6,2
14902,"0x0417","0x0417","Unclassified",6.7,2
14916,"0x7DF6","0x7DF6","Chromatin",6.2,2
14921,"0x761C","0x761C","Cytoskeleton",5.1,2
14940,"0x7567","0x7567","DNA repair",10.3,2
14979,"0xF5D5","0xF5D5","Unclassified",5.7,2
14982,"0x77D7","0x77D7","Cytoskeleton",10.4,2
14995,"0xF62B","0xF62B","Cell adhesion",6.5,2
14997,"0x765C","0x765C","Unclassified",6.5,2
15040,"0x9D75","0x9D75","Cytoskeleton",5.1,2
15065,"0x7567","0x7567","DNA repair",10.3,2
15106,"0xF5D9","0xF5D9","Transcription",7.2,2
15126,"0x68A1","0x68A1","Cytoskeleton",6.1,2
15190,"0xA65F","0xA65F","Chromatin",8.8,2
15214,"0x7613","0x7613","Unclassified",7,2
15219,"0xA4DA","0xA4DA","Unclassified",5.3,2
15225,"0xCA2A","0xCA2A","Unclassified",7.4,2
15258,"0xDA7D","0xDA7D","Phosphatase",6,2
15274,"0xD5BD","0xD5BD","Chromatin",9.6,2
15306,"0x5D74","0x5D74","Chromatin",5.3,2
15312,"0x9D75","0x9D75","Cytoskeleton",5.1,2
15321,"0x5451","0x5451","Unclassified",8,2
15455,"0x5D77","0x5D77","Chromatin",5.7,2
15472,"0x5D75","0x5D75","Cytoskeleton",6.6,2
15511,"0x75D5","0x75D5","Unclassified",6,2
15516,"0x5810","0x5810","Cell cycle",5.8,2
15701,"0x77D7","0x77D7","Cytoskeleton",10.4,2
15710,"0xD35D","0xD35D","Chromatin",5.9,2
15764,"0x2962","0x2962","Structural",5.9,2
15842,"0xC5D0","0xC5D0","Unclassified",7,2
15905,"0x6186","0x6186","Cytoskeleton",5.9,2
15917,"0x25BD","0x25BD","DNA repair",5.2,2
15936,"0x5D74","0x5D74","Chromatin",5.3,2
15997,"0x159D","0x159D","Cytoskeleton",5.2,2
16010,"0x2445","0x2445","Structural",5.2,2
16012,"0x5827","0x5827","DNA repair",5.4,2
16061,"0x0450","0x0450","Cell cycle",15.1,2
16089,"0xB72B","0xB72B","Transcription",8.9,2
16140,"0xA42F","0xA42F","Unclassified",7.7,2
16147,"0xA697","0xA697","RNA processing",7.4,2
16149,"0xC821","0xC821","Transcription",12.9,2
16192,"0x1081","0x1081","DNA repair",5.5,2
16224,"0x5CB2","0x5CB2","DNA repair",6.6,2
16251,"0x8B2B","0x8B2B","Unclassified",6.3,2
16317,"0x0450","0x0450","Cell cycle",15.1,2
16378,"0x35D9","0x35D9","Unclassified",6.3,2
16488,"0x0417","0x0417","Unclassified",6.7,2
16522,"0x365C","0x365C","Cell adhesion",8.6,2
16577,"0x0411","0x0411","Unclassified",18.5,2
16788,"0xF56A","0xF56A","Unclassified",8.1,2
16873,"0xCA20","0xCA20","Cell cycle",7.6,2
16940,"0x769C","0x769C","Structural",6.5,2
16964,"0x8418","0x8418","Cell adhesion",5.3,2
16977,"0xF62A","0xF62A","Unclassified",7.1,2
17003,"0xDCBD","0xDCBD","Chromatin",10,2
17163,"0x8568","0x8568","Structural",10.4,2
17202,"0x09DC","0x09DC","RNA processing",6,2
17207,"0x75DC","0x75DC","DNA repair",5.8,2
17231,"0x36D3","0x36D3","Cell adhesion",5.1,2
17257,"0xB560","0xB560","Cytoskeleton",16,2
17272,"0x0690","0x0690","Unclassified",14.6,2
17315,"0x4626","0x4626","Transcription",17.5,2
17333,"0x0A21","0x0A21","DNA repair",10.3,2
17389,"0x0960","0x0960","Cell cycle",18.6,2
17448,"0x5D77","0x5D77","Chromatin",5.7,2
17481,"0x882F","0x882F","Transcription",16.8,2
17510,"0xD5AD","0xD5AD","Phosphatase",6.7,2
17573,"0xF7D8","0xF7D8","Phosphatase",5.5,2
17770,"0x881A","0x881A","Unclassified",5.1,2
17828,"0x9D75","0x9D75","Cytoskeleton",5.1,2
17912,"0x0420","0x0420","Cell cycle",5.6,2
17921,"0x0620","0x0620","Cell cycle",6.4,2
17936,"0xF563","0xF563","Unclassified",17.3,2
18001,"0x8421","0x8421","Protein folding",12.5,2
18115,"0x7DB7","0x7DB7","Transcription",6.2,2
18184,"0x4114","0x4114","Chromatin",5.2,2
18187,"0x7657","0x7657","Cell adhesion",5.2,2
18205,"0x09D0","0x09D0","Chromatin",10.4,2
18534,"0x765C","0x765C","Unclassified",6.5,2
18552,"0x056C","0x056C","Cytoskeleton",10.3,2
18563,"0x356A","0x356A","Unclassified",7.8,2
18570,"0xF629","0xF629","Kinase",6.1,2
18572,"0xCA25","0xCA25","Cell cycle",11.2,2
18639,"0xE69A","0xE69A","RNA processing",12.3,2
18646,"0x356A","0x356A","Unclassified",7.8,2
18648,"0x2B62","0x2B62","Cytoskeleton",6.9,2
18655,"0xCA25","0xCA25","Cell cycle",11.2,2
18692,"0xC825","0xC825","DNA repair",13.1,2
18725,"0x4415","0x4415","Unclassified",5.7,2
18774,"0x5E61","0x5E61","Cell adhesion",5.4,2
18794,"0x669A","0x669A","Proteolysis",12.8,2
18801,"0x356C","0x356C","Unclassified",12.1,2
18810,"0xCA25","0xCA25","Cell cycle",11.2,2
18835,"0xB62B","0xB62B","Cytoskeleton",5.9,2
18888,"0x5081","0x5081","Nuc acid bind",7.8,2
18919,"0xD881","0xD881","Chromatin",6.1,2
19068,"0x1451","0x1451","Ion channel",6.1,2
19106,"0x9450","0x9450","Unclassified",8.6,2
19223,"0x0960","0x0960","Cell cycle",18.6,2
19295,"0x3563","0x3563","Cell adhesion",21.9,2
19301,"0x0A90","0x0A90","Translation",8.8,2
19358,"0x8820","0x8820","Cytoskeleton",8,2
19469,"0x69A6","0x69A6","Chromatin",6.4,2
19515,"0x3628","0x3628","Phosphatase",5.6,2
19520,"0x0A90","0x0A90","Translation",8.8,2
19560,"0x6882","0x6882","Cell cycle",8.2,2
19725,"0x04D0","0x04D0","RNA processing",7.7,2
19828,"0x77DB","0x77DB","Transcription",5.4,2
19830,"0xDCBD","0xDCBD","Chromatin",10,2
19936,"0x772C","0x772C","Cell cycle",5.9,2
19980,"0xF698","0xF698","Cell adhesion",7.5,2
20024,"0x4420","0x4420","Unclassified",11.8,2
20079,"0x4104","0x4104","Kinase",11,2
20103,"0x0410","0x0410","Transcription",41.5,2
20145,"0x1410","0x1410","Transcription",8.4,2
20149,"0xA423","0xA423","Transcription",14.2,2
20291,"0x1899","0x1899","Structural",7.7,2
20351,"0x77DB","0x77DB","Transcription",5.4,2
20355,"0x820A","0x820A","Chromatin",5,2
20400,"0xA725","0xA725","Unclassified",5.1,2
20456,"0x745C","0x745C","Unclassified",5.8,2
20541,"0x37D3","0x37D3","Transcription",9.7,2
20547,"0x4626","0x4626","Transcription",17.5,2
20551,"0x37D5","0x37D5","Cytoskeleton",7.2,2
20654,"0x8A29","0x8A29","Unclassified",7.6,2
20750,"0x082F","0x082F","Unclassified",7.8,2
20824,"0x0B2C","0x0B2C","Methylation",8.1,2
20996,"0xF72F","0xF72F","Transcription",12,2
21040,"0x2456","0x2456","Kinase",5.2,2
21088,"0xD58D","0xD58D","Phosphatase",7.4,2
21101,"0xDCB2","0xDCB2","Structural",6.8,2
21159,"0x4209","0x4209","Methylation",6.3,2
21249,"0x10A1","0x10A1","Cell adhesion",6,2
21320,"0x0560","0x0560","Kinase",13.8,2
21365,"0xD5B1","0xD5B1","GTPase",9.1,2
21479,"0x7618","0x7618","DNA repair",7.7,2
21525,"0x5810","0x5810","Cell cycle",5.8,2
21535,"0x0823","0x0823","Nuc acid bind",10.2,2
21540,"0xD881","0xD881","Chromatin",6.1,2
21621,"0x5829","0x5829","Unclassified",5.8,2
21645,"0x0610","0x0610","Cell adhesion",15.2,2
21688,"0xCB21","0xCB21","Transcription",10.2,2
21718,"0xCA20","0xCA20","Cell cycle",7.6,2
21916,"0x0560","0x0560","Kinase",13.8,2
22009,"0x6082","0x6082","Nuc acid bind",8.1,2
22011,"0x9D75","0x9D75","Cytoskeleton",5.1,2
22017,"0x4105","0x4105","Cell adhesion",5.5,2
22055,"0xC71C","0xC71C","Transcription",157.7,2
22057,"0x7617","0x7617","Chromatin",7.2,2
22131,"0xCA5C","0xCA5C","Chromatin",11.9,2
22166,"0x7987","0x7987","RNA processing",5.7,2
22471,"0xDCB2","0xDCB2","Structural",6.8,2
22591,"0x3420","0x3420","DNA repair",9.1,2
22640,"0xF428","0xF428","Cytoskeleton",5.5,2
22643,"0xE69B","0xE69B","Unclassified",6.6,2
22738,"0x5827","0x5827","DNA repair",5.4,2
22789,"0xE566","0xE566","Unclassified",5.9,2
22797,"0x7629","0x7629","Unclassified",5.6,2
22870,"0xB62B","0xB62B","Cytoskeleton",5.9,2
22872,"0x2881","0x2881","DNA repair",5.2,2
22874,"0xE560","0xE560","Cell cycle",14.5,2
23075,"0xDCBD","0xDCBD","Chromatin",10,2
23125,"0x9C8D","0x9C8D","Methylation",5.1,2
23145,"0x35D7","0x35D7","Cytoskeleton",8.7,2
23159,"0x75D5","0x75D5","Unclassified",6,2
23174,"0x5C82","0x5C82","Nuc acid bind",5.4,2
23269,"0x8629","0x8629","Unclassified",6.7,2
23367,"0x356F","0x356F","Chromatin",15.7,2
23391,"0x0AD5","0x0AD5","Cytoskeleton",5.5,2
23471,"0xF5D7","0xF5D7","Cytoskeleton",11.6,2
23563,"0x1C71","0x1C71","Transcription",19.8,2
23675,"0x882C","0x882C","Chromatin",5.7,2
23693,"0x6881","0x6881","DNA repair",8.8,2
23710,"0xCA9C","0xCA9C","Chromatin",12.8,2
23877,"0x3623","0x3623","Unclassified",7.2,2
23950,"0xDCAD","0xDCAD","Chromatin",7.6,2
24171,"0x7653","0x7653","Ion channel",7,2
24203,"0xA421","0xA421","Unclassified",6.2,2
24251,"0xA4D0","0xA4D0","Transcription",5.2,2
24282,"0x7790","0x7790","DNA repair",8.5,2
24402,"0x4415","0x4415","Unclassified",5.7,2
24694,"0x0820","0x0820","Chromatin",19.1,2
24726,"0x6F7D","0x6F7D","Methylation",10,2
24733,"0xF72F","0xF72F","Transcription",12,2
24853,"0x74D7","0x74D7","Cytoskeleton",8,2
24892,"0x5D74","0x5D74","Chromatin",5.3,2
25046,"0x0825","0x0825","Chromatin",11.6,2
25051,"0xCA2B","0xCA2B","Unclassified",12.9,2
25139,"0xF420","0xF420","Methylation",7.9,2
25142,"0x882F","0x882F","Transcription",16.8,2
25158,"0xC5DA","0xC5DA","Transcription",7.7,2
25162,"0x6881","0x6881","DNA repair",8.8,2
25215,"0x8208","0x8208","Chromatin",10,2
25265,"0x75D1","0x75D1","Unclassified",5.6,2
25271,"0x5A20","0x5A20","Cell cycle",5.8,2
25285,"0x2442","0x2442","Transport",5.4,2
25408,"0x4415","0x4415","Unclassified",5.7,2
25419,"0x4106","0x4106","Unclassified",5.1,2
25569,"0x34D1","0x34D1","Unclassified",6.9,2
25608,"0x77275D","0x77275D","Transcription",130.5,3
25643,"0x85D8","0x85D8","Chromatin",6.8,2
25683,"0x2742","0x2742","Chromatin",5.6,2
25739,"0x6CA1","0x6CA1","Transport",7.6,2
25748,"0x77D3","0x77D3","Cytoskeleton",7.7,2
25806,"0x0810","0x0810","Chromatin",7.8,2
25825,"0xCA21","0xCA21","Unclassified",11,2
25852,"0x2B62","0x2B62","Cytoskeleton",6.9,2
25855,"0x881A","0x881A","Unclassified",5.1,2
25899,"0x1451","0x1451","Ion channel",6.1,2
25909,"0x2CA2","0x2CA2","Cytoskeleton",5,2
25922,"0x05D0","0x05D0","DNA repair",11.6,2
25931,"0x7725","0x7725","Structural",6.1,2
26001,"0xDCAD","0xDCAD","Chromatin",7.6,2
26023,"0xD081","0xD081","Nuc acid bind",5.6,2
26046,"0x37DA","0x37DA","Chromatin",8.9,2
26135,"0xC829","0xC829","Structural",14.7,2
26147,"0x8A50","0x8A50","DNA repair",5.5,2
26156,"0x98B1","0x98B1","Unclassified",5,2
26174,"0x5963","0x5963","DNA repair",7.1,2
26202,"0x5B2C","0x5B2C","Kinase",6.2,2
26300,"0xBDF7","0xBDF7","Chromatin",10.5,2
26327,"0x881C","0x881C","Protein folding",6.5,2
26573,"0x75D5","0x75D5","Unclassified",6,2
26633,"0x6CB1","0x6CB1","Chromatin",7.6,2
26666,"0x5C8D","0x5C8D","Phosphatase",5.3,2
