Gene,Department,Upstream_Tokens,Upstream_PIC_Tokens,Upstream_PIC_Pct,GeneBody_Tokens,GeneBody_PIC_Tokens,GeneBody_PIC_Pct
KCNQ1,Ion_channel,29,1,3.4,2206,184,8.3
SCN5A,Ion_channel,24,2,8.3,615,54,8.8
TRPV1,Ion_channel,35,3,8.6,281,21,7.5
ABL1,Kinase,26,3,11.5,992,106,10.7
BRAF,Kinase,33,1,3.0,1060,87,8.2
EGFR,Kinase,33,1,3.0,1111,99,8.9
JAK2,Kinase,33,3,9.1,721,68,9.4
SRC,Kinase,23,2,8.7,324,22,6.8
DOT1L,Methylation,25,5,20.0,449,41,9.1
METTL3,Methylation,17,1,5.9,60,2,3.3
NSD1,Methylation,35,4,11.4,890,108,12.1
PRMT1,Methylation,27,3,11.1,75,7,9.3
SETD2,Methylation,29,3,10.3,816,68,8.3
DUSP1,Phosphatase,24,2,8.3,29,2,6.9
PPP2CA,Phosphatase,25,3,12.0,158,10,6.3
PTEN,Phosphatase,22,6,27.3,565,35,6.2
PTPN11,Phosphatase,38,4,10.5,558,58,10.4
PTPRC,Phosphatase,25,1,4.0,624,39,6.2
ADAM17,Proteolysis,24,2,8.3,394,26,6.6
CASP8,Proteolysis,18,2,11.1,684,52,7.6
CTSD,Proteolysis,21,2,9.5,79,6,7.6
MMP9,Proteolysis,32,1,3.1,35,3,8.6
USP7,Proteolysis,30,3,10.0,416,48,11.5
DDX5,RNA_processing,26,1,3.8,41,0,0.0
HNRNPA1,RNA_processing,28,4,14.3,30,6,20.0
PRPF8,RNA_processing,24,6,25.0,229,20,8.7
SF3B1,RNA_processing,23,1,4.3,239,17,7.1
SRSF1,RNA_processing,21,2,9.5,38,3,7.9
AKT1,Signaling,19,0,0.0,180,10,5.6
KRAS,Signaling,28,2,7.1,213,19,8.9
NOTCH1,Signaling,27,1,3.7,297,17,5.7
PIK3CA,Signaling,19,1,5.3,414,30,7.2
WNT3A,Signaling,28,2,7.1,328,31,9.5
COL1A1,Structural,31,5,16.1,151,10,6.6
FLNA,Structural,29,4,13.8,151,14,9.3
KRT18,Structural,31,4,12.9,55,2,3.6
LMNA,Structural,26,1,3.8,412,31,7.5
VIM,Structural,28,2,7.1,42,6,14.3
FOXP2,Transcription,27,4,14.8,3056,206,6.7
IRF1,Transcription,20,3,15.0,383,37,9.7
JUN,Transcription,17,2,11.8,30,2,6.7
KLF4,Transcription,34,4,11.8,19,1,5.3
MYC,Transcription,34,1,2.9,41,2,4.9
EEF2,Translation,22,4,18.2,53,3,5.7
EIF2AK2,Translation,29,2,6.9,296,23,7.8
EIF4E,Translation,19,1,5.3,254,21,8.3
MTOR,Translation,31,1,3.2,868,72,8.3
RPS6,Translation,23,1,4.3,27,2,7.4
ABCB1,Transport,24,2,8.3,1053,91,8.6
ATP1A1,Transport,35,3,8.6,201,17,8.5
SLC12A2,Transport,29,4,13.8,469,29,6.2
SLC2A1,Transport,34,2,5.9,184,17,9.2
SLC6A3,Transport,24,3,12.5,279,23,8.2
MDM2,Ubiquitin,27,5,18.5,177,17,9.6
NEDD4,Ubiquitin,25,2,8.0,912,55,6.0
RNF2,Ubiquitin,19,1,5.3,311,17,5.5
TRIM28,Ubiquitin,28,1,3.6,59,7,11.9
UBE2I,Ubiquitin,28,2,7.1,210,18,8.6
